评论ID,评论时间,评论内容,评论得分,用户昵称,商品_颜色,商品_型号,清洗后评论,分词,关键词,情感得分,情感标签
25014876678,2025-11-15 19:37:17,用了几天了，感觉不错，玩游戏挺顺畅，听音乐声音不错，90w快充充电很快，还在磨合期！送了一张电话卡！蓝色很好看！客服服务态度非常好，有耐心！,5,j***c,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/363303/4/330/50673/691865ecF3f060ae6/ab32fa495fae3a40.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/342829/6/26310/64232/691865ecFc1fa4277/49e6df340256db9a.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/354318/11/13693/45207/691865ecF738086bd/8995c721dc12325a.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/368307/3/356/57150/691865ecF300980f7/73acacc69a4a2151.jpg.dpg,w,[],[],0.5,中性
103192420156740893,2025-11-18 09:11:20,给女朋友买的，从11换的17，快递很快，4，5天就到了，打开以后很惊艳，现在17的质感很好啊，速度也很快，也有了高刷，感觉材料也变好了，很不错，她很喜欢，Phone 17是苹果近年来升级幅度最大的标准版机型，屏幕、性能、影像全面进化，尤其高刷屏与双频GPS的下放，显著提升了日常体验，它是一款值得入手的&ldquo;6年用机&rdquo;，信号稍微弱一点！,5,x***l,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/366474/7/1621/50292/691bc7b5F70b99bdc/5f59b0be9d5474db.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/355613/32/7916/29542/691bc7b7Ff0bc67a3/95aeb925c1092cee.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/356178/28/10155/62400/691bc7b6F3170fd93/fccd8af7c4dd3162.jpg.dpg,hone                                                                      ldq o      rdq o,"['hone', 'ldq', 'rdq']","['hone', 'ldq', 'rdq']",0.2698321367786165,负向
103080540154474370,2025-11-29 08:27:08,"京东配送速度yyds，包装严实配送及时。
iOS17基础版真心好用，界面交互更顺手，动画过渡自然。键盘输入更流畅，还有跨平台跟踪检测，隐私保护到位。日常刷剧、办公都不卡顿，续航也没下降，基础版功能足够实用，京东购买+系统体验都满分",5,K***e,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/371855/40/2172/109659/692a3ddbF7f832309/b180230fef636db8.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/361616/36/12927/114887/692a3ddcF796b47ef/39a4c0278b970e5c.jpg.dpg,yyds           i,['yyds'],['yyds'],0.23082833962758653,负向
24896256150,2025-11-02 16:35:30,"手机全新未激活
颜值高  屏幕色彩鲜艳   
待机时间也还可以，抗反射涂层不错，阳光下看得清
整体来说都很棒，提前9天送到了，京东效率就是快
预计11.8送到，结果10.30号晚上就送到了，120帧率高刷很快，拍照很nice",5,jd_9620u9ekew0k72,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/349342/36/21148/182992/690717ceF7fd8657c/42ed9b58825572bc.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/343517/38/20214/313698/690717d1Fc78ee7aa/c117b81d91a7bee0.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/335294/24/13484/399135/690717cfF69c62470/2ec92c43c4e0dfcc.jpg.dpg,nice,['nice'],['nice'],0.8,正向
103251690158563421,2025-11-27 13:26:58,老手机苹果12用了很多年了，128g内存明显不够用。趁着这次苹果17有国补，果断拔草下手，本来最喜欢绿色可惜没货，蓝色也不错。手感很好，运行流畅，物流配送及时，快递小哥帮忙指导激活开机，总体满意&hellip;&hellip;,5,黑***8,青雾蓝色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/360772/35/10890/374812/6927e11fFe660451c/39e82edc02cb7df0.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/366904/7/6907/229354/6927e122Fbb5e4b5a/14460bc3c85fc561.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/357324/21/17533/277906/6927e121Fe92a66cd/dd5e4fcbca847ddf.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/366682/10/6426/297850/6927e120F17e6cc86/6595c5b7d93d9080.jpg.dpg,g                                                                                hellip  hellip,"['hellip', 'hellip']",['hellip'],0.7085923308003611,正向
103175020149948659,2025-11-25 19:51:50,操作非常顺畅，拍照特别清晰，而且可以双拍手感很舒适。嗯，女生用我觉得这个大小够了，待机时间很长，电池非常的健康，紫色很治愈就是79 ，价格非常的香。京东p u s还能折扣,5,t153k86g3u1ua0,薰衣草紫色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/368040/27/6183/57686/69259854F698f1931/2a657d04c19d5213.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/358109/1/15186/84454/69259855Fa23907e9/ad7f6be258f26286.jpg.dpg,p   s,[],[],0.23082833962758653,负向
24961436620,2025-11-09 20:41:53,"看了白色没货，买了这个也不错的颜色。
比13要重一点，内存也大一点，其他没感觉得到啥差别&hellip;
拍照很清晰，启动很快，很流畅",5,p***u,青雾蓝色,https://jvod.300hu.com/img/2025/1097604633/1/img3.jpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/344232/35/25281/168516/69108c0fF8e1599e7/a1313652a04e51ca.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/361867/15/1265/69169/69108c10F8f04463d/1ac8bda7470f2c50.jpg.dpg,hellip,['hellip'],['hellip'],0.5,中性
24979277213,2025-11-11 15:21:24,"不错，256g，带高刷，5969到手，蓝色很好看，13置换的，13还卖了一千二百多，补贴三百块钱，值了一千五百多，巴适得很
等了十几天就到了，配了蓝色手机壳，买了充电器，防窥膜，2米充电线，配置拉满
像素不错不错",5,luoshijie,青雾蓝色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/356451/31/7179/80680/6912e3efF1f9f68a9/3d9e9fb9312a61e6.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/344867/16/23689/36208/6912e3f4F34a3af72/b3f1dca3a03cff31.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/342955/40/25834/397396/6912e3f2Fa7e95290/9f606f17300a1ed4.jpg.dpg,g,[],[],0.7499999999999999,正向
102940120150075932,2025-11-26 21:12:49,终于收到了期待已久的iPhone 17！这个青雾蓝色真的太惊艳了，实物比图片还好看，是一种低调又高级的灰蓝色调，手感一如既往的细腻。256G容量对我来说刚刚好，可以放心拍很多照片视频。手机运行非常流畅，电池也很耐用。京东物流超快，第二天一早就送达，包装完好无损。正品保障，买着放心，非常满意的一次购物！,5,j***b,青雾蓝色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/357376/3/17130/49760/6926fccfFe864655c/b92fca237e11287f.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/354845/23/20148/82390/6926fcd0Fa7ebc1f6/5b7727ebc1ca9f99.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/366413/1/6418/44994/6926fcd0Fbabaf76a/763d19d306db1ab8.jpg.dpg,i hone,['hone'],['hone'],0.23082833962758653,负向
103242290156555739,2025-11-25 17:52:59,全新未拆封正品，验机报告和描述完全一致，双卡双待切换丝滑，和国行没区别 。6.3英寸屏幕大小刚好，单手操作无压力，120Hz高刷滑动起来丝滑到上瘾，3000尼特峰值亮度，大太阳下看导航也清清楚楚。A19芯片性能真的顶，多开APP、剪短视频都不卡顿，发热控制得很好。续航比旧款提升明显，中度使用一天下来还剩不少电，不用总找充电宝。客服响应超快，有问题耐心解答，物流也给力，这个价格能拿下旗舰机，性价比直接拉满，闭眼入不亏！,5,那一枪很很温柔,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/353950/9/18181/69053/69257c79Fbbd4c384/28b52f73e73ec210.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/359625/1/14736/94248/69257c7aFe4120251/79fb5dbcbafeef91.jpg.dpg,z,[],[],0.2500000000000001,负向
