评论ID,评论时间,评论内容,评论得分,用户昵称,商品_颜色,商品_型号,清洗后评论,分词,关键词,情感得分,情感标签
24996808134,2025-11-13 14:17:50,"以旧换新：服务非常周到，回收的价格很友好，比官方要高一些
外形外观：白色的手感很方正，尺寸大小比较合适，重量稍微有点重
拍照效果：新机的拍照功能更丰富，效果色彩更鲜明
运行速度：内存足够大，运行起来非常丝滑顺畅",5,e***4,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/343314/1/26865/72916/6915780bF63ddcea9/f01334ba1b7b6348.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/346392/30/26913/70685/6915780cFcf3d0a83/90eee93ce44a23ec.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/348788/13/26475/85542/6915780dF5afb9c26/9ca728466913800b.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/355999/40/8837/66716/6915780dF135a369d/6cdfbcbd2f83bfc2.jpg.dpg,以旧换新 服务非常周到 回收的价格很友好 比官方要高一些 外形外观 白色的手感很方正 尺寸大小比较合适 重量稍微有点重 拍照效果 新机的拍照功能更丰富 效果色彩更鲜明 运行速度 内存足够大 运行起来非常丝滑顺畅,"['以旧换新', '服务', '周到', '回收', '友好', '官方', '一些', '外形', '外观', '白色', '手感', '方正', '尺寸', '大小', '合适', '重量', '稍微', '有点', '拍照', '效果', '新机', '拍照', '功能', '丰富', '效果', '色彩', '鲜明', '运行', '速度', '内存', '足够', '运行', '起来', '丝滑', '顺畅']","['拍照', '丝滑', '效果', '运行', '新机']",0.9999999977553802,正向
25014876678,2025-11-15 19:37:17,用了几天了，感觉不错，玩游戏挺顺畅，听音乐声音不错，90w快充充电很快，还在磨合期！送了一张电话卡！蓝色很好看！客服服务态度非常好，有耐心！,5,j***c,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/363303/4/330/50673/691865ecF3f060ae6/ab32fa495fae3a40.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/342829/6/26310/64232/691865ecFc1fa4277/49e6df340256db9a.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/354318/11/13693/45207/691865ecF738086bd/8995c721dc12325a.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/368307/3/356/57150/691865ecF300980f7/73acacc69a4a2151.jpg.dpg,用了几天了 感觉不错 玩游戏挺顺畅 听音乐声音不错 90w快充充电很快 还在磨合期 送了一张电话卡 蓝色很好看 客服服务态度非常好 有耐心,"['几天', '不错', '玩游戏', '顺畅', '音乐', '声音', '不错', '90w', '快充', '充电', '很快', '磨合期', '一张', '电话卡', '蓝色', '好看', '客服', '服务态度', '耐心']","['电话卡', '不错', '90w', '快充', '磨合期']",0.9986505285128393,正向
24901725459,2025-11-03 11:22:42,用了四年的13终于可以退休了，当时也是刚上市就买了，6799买的256内存的黑色。很耐用摔了很多次都还是好的，现在17上市就果断换了，基础版够用了，相对13来说流畅很多，还有灵动岛很实用，突然换了四代使用感受还是很爽的，之前黑色不耐磨，都掉漆很脏，现在换了白色试试看,5,汪七岁,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/357499/19/2617/29301/69082001F53dfae8a/6fd0565bff247cd6.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/357326/10/2700/37261/69082001F422a4a48/b53bca6b37c53eff.jpg.dpg,用了四年的13终于可以退休了 当时也是刚上市就买了 6799买的256内存的黑色 很耐用摔了很多次都还是好的 现在17上市就果断换了 基础版够用了 相对13来说流畅很多 还有灵动岛很实用 突然换了四代使用感受还是很爽的 之前黑色不耐磨 都掉漆很脏 现在换了白色试试看,"['四年', '13', '终于', '退休', '当时', '上市', '6799', '256', '内存', '黑色', '耐用', '多次', '现在', '17', '上市', '果断', '基础', '够用', '相对', '13', '来说', '流畅', '很多', '还有', '灵动', '实用', '突然', '四代', '使用', '感受', '很爽', '之前', '黑色', '耐磨', '很脏', '现在', '白色', '试试看']","['13', '黑色', '很爽', '6799', '256']",0.9995813512306994,正向
103192420156740893,2025-11-18 09:11:20,给女朋友买的，从11换的17，快递很快，4，5天就到了，打开以后很惊艳，现在17的质感很好啊，速度也很快，也有了高刷，感觉材料也变好了，很不错，她很喜欢，Phone 17是苹果近年来升级幅度最大的标准版机型，屏幕、性能、影像全面进化，尤其高刷屏与双频GPS的下放，显著提升了日常体验，它是一款值得入手的&ldquo;6年用机&rdquo;，信号稍微弱一点！,5,x***l,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/366474/7/1621/50292/691bc7b5F70b99bdc/5f59b0be9d5474db.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/355613/32/7916/29542/691bc7b7Ff0bc67a3/95aeb925c1092cee.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/356178/28/10155/62400/691bc7b6F3170fd93/fccd8af7c4dd3162.jpg.dpg,给女朋友买的 从11换的17 快递很快 4 5天就到了 打开以后很惊艳 现在17的质感很好啊 速度也很快 也有了高刷 感觉材料也变好了 很不错 她很喜欢 Phone 17是苹果近年来升级幅度最大的标准版机型 屏幕 性能 影像全面进化 尤其高刷屏与双频GPS的下放 显著提升了日常体验 它是一款值得入手的 ldquo 6年用机 rdquo 信号稍微弱一点,"['女朋友', '11', '17', '很快', '打开', '以后', '惊艳', '现在', '17', '质感', '速度', '很快', '高刷', '材料', '变好', '不错', '喜欢', 'Phone', '17', '苹果', '近年来', '升级', '幅度', '最大', '标准版', '机型', '屏幕', '性能', '影像', '全面', '进化', '尤其', '刷屏', '双频', 'GPS', '下放', '显著', '提升', '日常', '体验', '一款', '值得', '入手', 'ldquo', '用机', 'rdquo', '信号', '微弱', '一点']","['17', '刷屏', '标准版', '11', '高刷']",0.9999999996512772,正向
103080540154474370,2025-11-29 08:27:08,"京东配送速度yyds，包装严实配送及时。
iOS17基础版真心好用，界面交互更顺手，动画过渡自然。键盘输入更流畅，还有跨平台跟踪检测，隐私保护到位。日常刷剧、办公都不卡顿，续航也没下降，基础版功能足够实用，京东购买+系统体验都满分",5,K***e,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/371855/40/2172/109659/692a3ddbF7f832309/b180230fef636db8.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/361616/36/12927/114887/692a3ddcF796b47ef/39a4c0278b970e5c.jpg.dpg,京东配送速度yyds 包装严实配送及时 iOS17基础版真心好用 界面交互更顺手 动画过渡自然 键盘输入更流畅 还有跨平台跟踪检测 隐私保护到位 日常刷剧 办公都不卡顿 续航也没下降 基础版功能足够实用 京东购买 系统体验都满分,"['京东', '配送', '速度', 'yyds', '严实', '配送', '及时', 'iOS17', '基础', '真心', '好用', '界面', '交互', '顺手', '动画', '过渡', '自然', '键盘输入', '流畅', '还有', '跨平台', '跟踪', '检测', '隐私', '保护', '到位', '日常', '刷剧', '办公', '不卡顿', '续航', '下降', '基础', '功能', '足够', '实用', '京东', '购买', '系统', '体验', '满分']","['京东', '配送', '跨平台', 'yyds', 'iOS17']",0.999999999948143,正向
24896256150,2025-11-02 16:35:30,"手机全新未激活
颜值高  屏幕色彩鲜艳   
待机时间也还可以，抗反射涂层不错，阳光下看得清
整体来说都很棒，提前9天送到了，京东效率就是快
预计11.8送到，结果10.30号晚上就送到了，120帧率高刷很快，拍照很nice",5,jd_9620u9ekew0k72,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/349342/36/21148/182992/690717ceF7fd8657c/42ed9b58825572bc.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/343517/38/20214/313698/690717d1Fc78ee7aa/c117b81d91a7bee0.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/335294/24/13484/399135/690717cfF69c62470/2ec92c43c4e0dfcc.jpg.dpg,手机全新未激活 颜值高 屏幕色彩鲜艳 待机时间也还可以 抗反射涂层不错 阳光下看得清 整体来说都很棒 提前9天送到了 京东效率就是快 预计11 8送到 结果10 30号晚上就送到了 120帧率高刷很快 拍照很nice,"['手机', '全新', '未激活', '颜值', '屏幕', '色彩鲜艳', '待机时间', '反射', '涂层', '不错', '阳光', '看得清', '整体', '来说', '很棒', '提前', '送到', '京东', '效率', '预计', '11', '送到', '结果', '10', '30', '晚上', '送到', '120', '高刷', '很快', '拍照', 'nice']","['送到', '待机时间', '未激活', '颜值', '11']",0.9872995563580367,正向
24934677019,2025-11-06 17:46:22,细节非常完美，抢到太不容易，整体来说真的很不错，用起来很顺滑，拍照神器，性价比很高，整机都很喜欢，下次还会继续光顾。使用手感很不错，很喜欢，一直都用苹果的手机，颜值高，支持京东自营值得信赖,5,jd_4qu03lbw46g5n7,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/356593/28/4164/113909/690c6e6cFde74c6bb/58dca6341519a94e.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/247585/25/37582/50301/690c6e6dF162b5d35/bb5b275ddbec8360.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/355722/22/4849/95783/690c6e6cF828e2a8f/1c585c1254e221e8.jpg.dpg,细节非常完美 抢到太不容易 整体来说真的很不错 用起来很顺滑 拍照神器 性价比很高 整机都很喜欢 下次还会继续光顾 使用手感很不错 很喜欢 一直都用苹果的手机 颜值高 支持京东自营值得信赖,"['细节', '完美', '太不容易', '整体', '来说', '不错', '起来', '顺滑', '拍照', '神器', '性价比', '整机', '喜欢', '下次', '还会', '继续', '光顾', '使用', '手感', '不错', '喜欢', '一直', '苹果', '手机', '颜值', '支持', '京东', '自营', '值得', '信赖']","['不错', '太不容易', '颜值', '喜欢', '顺滑']",0.9999999999301126,正向
103234800152929923,2025-11-22 13:53:12,"外形外观：与自用的13差不多大小，适合直接放口袋
屏幕音效：屏幕更细腻
拍照效果：清晰简洁
运行速度：快速不卡顿
待机时间：冲半小时电可以用半天
其他特色：背面白色哑光材质，手感很棒",5,j***v,白色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/366489/37/3379/295626/69214fc4Fd22b7d0f/fdb56f0ae1831eed.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/366474/2/4211/269175/69214fc7F06457b4a/5f59b0be9d5474db.jpg.dpg,外形外观 与自用的13差不多大小 适合直接放口袋 屏幕音效 屏幕更细腻 拍照效果 清晰简洁 运行速度 快速不卡顿 待机时间 冲半小时电可以用半天 其他特色 背面白色哑光材质 手感很棒,"['外形', '外观', '自用', '13', '差不多', '大小', '适合', '直接', '口袋', '屏幕', '音效', '屏幕', '细腻', '拍照', '效果', '清晰', '简洁', '运行', '速度', '快速', '不卡顿', '待机时间', '半小时', '半天', '其他', '特色', '背面', '白色', '哑光', '材质', '手感', '很棒']","['屏幕', '待机时间', '音效', '13', '不卡顿']",0.9999999903724696,正向
24959884900,2025-11-09 17:53:06,旧手机不小心摔坏了，立马上京东看，电子产品京东还是靠谱的。快递员当面确认签收，毕竟贵重物品。拿到手很有质感，配上手机壳也很在线。手机目前感觉非常流畅，日常功能足够了，空间也比较足,5,5***C,黑色,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/342848/28/25199/1967340/69106480F1a97762e/958b99970681e177.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/361843/31/1221/2215393/69106481F1bc0c8b5/1ea102da0a607000.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/354766/39/9162/1942255/69106481Fa98810b5/4db4f160e8802795.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/349507/34/22881/2348844/69106481Fbb274764/49662e4f855eadd3.jpg.dpg,旧手机不小心摔坏了 立马上京东看 电子产品京东还是靠谱的 快递员当面确认签收 毕竟贵重物品 拿到手很有质感 配上手机壳也很在线 手机目前感觉非常流畅 日常功能足够了 空间也比较足,"['手机', '小心', '摔坏', '立马', '京东', '电子产品', '京东', '当面', '确认', '签收', '毕竟', '贵重物品', '拿到', '质感', '手机', '在线', '手机', '目前', '流畅', '日常', '功能', '足够', '空间']","['京东', '手机', '签收', '贵重物品', '摔坏']",0.03906921666224539,负向
103311810159440686,2025-11-28 21:43:24,"屏幕音效：屏幕清晰，音效很好
拍照效果：拍照清晰，效果很不错
外形外观：紫色真的很仙，简洁美观
运行速度：运行速度快，流畅
待机时间：待机时间持久",5,怕***狐,薰衣草紫色,https://jvod.300hu.com/img/2025/1110967151/1/img1.jpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/367001/11/7083/2037668/6929a6fbF0b9abad6/0c80c8015d0c7d6e.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/356759/21/16234/147200/6929a6fcF490847dc/03f82bc0b0b9cfff.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/355111/19/18152/159046/6929a6fbF02b4dc8e/4d5820c351328470.jpg.dpg,屏幕音效 屏幕清晰 音效很好 拍照效果 拍照清晰 效果很不错 外形外观 紫色真的很仙 简洁美观 运行速度 运行速度快 流畅 待机时间 待机时间持久,"['屏幕', '音效', '屏幕', '清晰', '音效', '拍照', '效果', '拍照', '清晰', '效果', '不错', '外形', '外观', '紫色', '很仙', '简洁', '美观', '运行', '速度', '运行', '速度', '流畅', '待机时间', '待机时间', '持久']","['待机时间', '音效', '拍照', '屏幕', '清晰']",0.9999999999829403,正向
