评论ID,评论时间,评论内容,评论得分,用户昵称,商品_颜色,商品_型号,清洗后评论,分词,关键词,情感得分,情感标签
24935828683,2025-11-06 20:11:10,用了快半个月，vivo X300越用越顺手。系统流畅不卡顿，打开APP基本秒开。原子岛我真觉得挺聪明的，快递到哪儿了、高铁几点进站，直接左滑就行了，不用我自己惦记着查，省心太多。拍照也够用，日常拍娃、拍风景都挺不错的。连送的手机壳和充电宝都不像&ldquo;赠品货&rdquo;，拿在手里挺有质感，细节挺到位。整体用下来，体验感什么都很不错。,5,窝***头,惬意紫,16+512G,用了快半个月 vivo X300越用越顺手 系统流畅不卡顿 打开APP基本秒开 原子岛我真觉得挺聪明的 快递到哪儿了 高铁几点进站 直接左滑就行了 不用我自己惦记着查 省心太多 拍照也够用 日常拍娃 拍风景都挺不错的 连送的手机壳和充电宝都不像 ldquo 赠品货 rdquo 拿在手里挺有质感 细节挺到位 整体用下来 体验感什么都很不错,"['半个', 'vivo', 'X300', '越用', '顺手', '系统', '流畅', '不卡顿', '打开', 'APP', '基本', '原子', '觉得', '聪明', '哪儿', '高铁', '几点', '进站', '直接', '左滑', '就行了', '不用', '自己', '惦记着', '省心', '拍照', '够用', '日常', '拍娃', '风景', '挺不错', '连送', '手机', '充电', 'ldquo', '赠品', 'rdquo', '手里', '质感', '细节', '到位', '整体', '下来', '体验', '什么', '不错']","['vivo', 'X300', '越用', '不卡顿', 'APP']",0.9999999925690974,正向
103193550148648704,2025-11-21 18:46:47,想换手机半年了，各大实体店，各种品牌的手机都看过，都没有心仪的，前面前几天偶然去店里看到这款手机刚上市，试用了一下无论是手感，手机大小，还是屏幕清晰度，都很棒，用惯了小屏手机，别的手机屏幕太大，也不好拿，这个手机6.31的屏正好合适，单手操作无压力，双十一搞活动，九折劵，加上国家补贴，到手3459，还送了，耳机，小度智能音箱，耳机音质很好，开车带很方便，小度音响在家听歌，无线连接也很方便，唯一的遗憾就是只有彩颜色，可以使用国家补贴，不过戴上手机壳，也无伤大雅，使用了好几天，才来评价的，速度很快，信号很好，客服态度很好，物流也很快一天，到货，,5,京强仔888,幸运彩,12+256G,想换手机半年了 各大实体店 各种品牌的手机都看过 都没有心仪的 前面前几天偶然去店里看到这款手机刚上市 试用了一下无论是手感 手机大小 还是屏幕清晰度 都很棒 用惯了小屏手机 别的手机屏幕太大 也不好拿 这个手机6 31的屏正好合适 单手操作无压力 双十一搞活动 九折劵 加上国家补贴 到手3459 还送了 耳机 小度智能音箱 耳机音质很好 开车带很方便 小度音响在家听歌 无线连接也很方便 唯一的遗憾就是只有彩颜色 可以使用国家补贴 不过戴上手机壳 也无伤大雅 使用了好几天 才来评价的 速度很快 信号很好 客服态度很好 物流也很快一天 到货,"['想换', '手机', '半年', '各大', '实体店', '各种', '品牌', '手机', '看过', '心仪', '面前', '几天', '偶然', '店里', '看到', '手机', '上市', '试用', '一下', '无论是', '手感', '手机', '大小', '屏幕', '清晰度', '很棒', '用惯', '小屏', '手机', '别的', '手机', '屏幕', '不好', '这个', '手机', '31', '正好', '合适', '单手操作', '压力', '双十', '活动', '九折', '加上', '国家补贴', '到手', '3459', '耳机', '小度', '智能', '音箱', '耳机', '音质', '开车', '方便', '小度', '音响', '在家', '听歌', '无线连接', '方便', '唯一', '遗憾', '只有', '颜色', '使用', '国家补贴', '不过', '戴上', '手机', '无伤大雅', '使用', '几天', '评价', '速度', '很快', '信号', '客服', '态度', '很快', '一天', '到货']","['手机', '小度', '国家补贴', '耳机', '屏幕']",0.9559205458117794,正向
103175020149820992,2025-11-20 22:57:27,X300跟x200mini版是长得一样的，，除了镜头位置突出，其他都纤薄，手感很好，不带套更好，无奈怕摔所以用上原装配套的保护壳。紫色版本是浅紫色那种很惊艳。新机待机很长，正常使用不玩游戏，一日一充足够。x200用一年了电池还很耐用，估计X300一样的。拍照和系统都很好，一直用的都是VIVO所以没有使用上的不习惯，个人感觉系统比鸿蒙要好用。且性价比高，这是换成VIVO的原因。用了一周，没有问题，信赖京东平台，购买手机放心。不担心调包不担心快递损坏。,5,巨***牛,惬意紫,12+256G,X300跟x200mini版是长得一样的 除了镜头位置突出 其他都纤薄 手感很好 不带套更好 无奈怕摔所以用上原装配套的保护壳 紫色版本是浅紫色那种很惊艳 新机待机很长 正常使用不玩游戏 一日一充足够 x200用一年了电池还很耐用 估计X300一样的 拍照和系统都很好 一直用的都是VIVO所以没有使用上的不习惯 个人感觉系统比鸿蒙要好用 且性价比高 这是换成VIVO的原因 用了一周 没有问题 信赖京东平台 购买手机放心 不担心调包不担心快递损坏,"['X300', 'x200mini', '版是', '长得', '一样', '除了', '镜头', '位置', '突出', '其他', '纤薄', '手感', '不带', '更好', '无奈', '原装', '配套', '保护', '紫色', '版本', '浅紫色', '那种', '惊艳', '新机', '待机', '很长', '正常', '使用', '玩游戏', '一日', '充足', 'x200', '一年', '电池', '耐用', '估计', 'X300', '一样', '拍照', '系统', '一直', 'VIVO', '使用', '习惯', '个人感觉', '系统', '鸿蒙', '性价比', '这是', '换成', 'VIVO', '原因', '一周', '问题', '信赖', '京东', '平台', '购买', '手机', '放心', '担心', '调包', '担心', '损坏']","['X300', 'VIVO', '调包', '浅紫色', 'x200mini']",0.9999937519169795,正向
24912161296,2025-11-04 11:46:38,屏幕色彩鲜艳，感觉比x200更加优秀，字体也更细腻。OS6系统操作流畅运行超快！画质优秀。手机大小刚好。做工精良，手感更好，摄像模组凸起比小200更加圆润手感更好！唯一遗憾的是，电池相对竞品来说提升比较小。,5,沙***云,纯粹黑,16+1TB,屏幕色彩鲜艳 感觉比x200更加优秀 字体也更细腻 OS6系统操作流畅运行超快 画质优秀 手机大小刚好 做工精良 手感更好 摄像模组凸起比小200更加圆润手感更好 唯一遗憾的是 电池相对竞品来说提升比较小,"['屏幕', '色彩鲜艳', 'x200', '更加', '优秀', '字体', '细腻', 'OS6', '系统', '操作', '流畅', '运行', '超快', '画质', '优秀', '手机', '大小', '刚好', '做工', '精良', '手感', '更好', '摄像', '模组', '凸起', '比小', '200', '更加', '圆润', '手感', '更好', '唯一', '遗憾', '电池', '相对', '竞品', '来说', '提升']","['手感', '优秀', '更好', 'x200', 'OS6']",0.9999999995551581,正向
103202420156865504,2025-11-18 15:44:25,"收到vivo X300标准版体验用了一天，白天使用电量完全够用。看到有国补立即下单，快递给力，两天就到了。
最惊艳的还是其影像系统，听说这是vivo的强项，X300发挥到极致，出片效果好。
性能和流畅度无可挑剔，Origin系统第一次使用慢慢适应！
屏幕也出色，采用京东方1.5K屏，显示细腻、色彩准确。
机身小巧，适合小屏爱好者，手感佳。这次购物很满意。 收起简单",5,u_o2ku4xdckx11,惬意紫,12+256G,收到vivo X300标准版体验用了一天 白天使用电量完全够用 看到有国补立即下单 快递给力 两天就到了 最惊艳的还是其影像系统 听说这是vivo的强项 X300发挥到极致 出片效果好 性能和流畅度无可挑剔 Origin系统第一次使用慢慢适应 屏幕也出色 采用京东方1 5K屏 显示细腻 色彩准确 机身小巧 适合小屏爱好者 手感佳 这次购物很满意 收起简单,"['收到', 'vivo', 'X300', '标准版', '体验', '一天', '白天', '用电量', '完全', '够用', '看到', '有国补', '立即', '下单', '递给', '两天', '惊艳', '影像', '系统', '听说', '这是', 'vivo', '强项', 'X300', '发挥', '极致', '出片', '效果', '性能', '流畅', '无可挑剔', 'Origin', '系统', '第一次', '使用', '慢慢', '适应', '屏幕', '出色', '采用', '京东方', '5K', '显示', '细腻', '色彩', '准确', '机身', '小巧', '适合', '小屏', '爱好者', '手感', '这次', '购物', '满意', '收起', '简单']","['vivo', 'X300', '标准版', '有国补', '出片']",0.9999999342232292,正向
25005982260,2025-11-14 15:08:02,用了三天，使用流畅，拍照真是很强大，电池续航也可以的，手机大小适合女生，手感很好，男士比较适合PRO,5,jd_/db可爱耗子,惬意紫,16+1TB,用了三天 使用流畅 拍照真是很强大 电池续航也可以的 手机大小适合女生 手感很好 男士比较适合PRO,"['三天', '使用', '流畅', '拍照', '真是', '强大', '电池', '续航', '手机', '大小', '适合', '女生', '手感', '男士', '适合', 'PRO']","['适合', 'PRO', '男士', '续航', '手感']",0.9998904667845284,正向
24970831536,2025-11-10 18:22:08,6.31英寸的屏幕，完美的实现了单手玩机，1-120Hz的刷新率滑动起来很顺，刷社交软件、看视频时，色彩和亮度都很自然，不会觉得刺眼。2亿像素主摄确实清晰，暗部没什么噪点，高光也不会过曝，不用后期修图也能直接存着。性能方面，日常用肯定够了。系统是OriginOS 6，操作起来很顺手。续航的话，早上充满电，刷手机拍照，6000mAh的电池玩一天问题不大，90W快充也很快。,5,范***6,惬意紫,12+256G,6 31英寸的屏幕 完美的实现了单手玩机 1 120Hz的刷新率滑动起来很顺 刷社交软件 看视频时 色彩和亮度都很自然 不会觉得刺眼 2亿像素主摄确实清晰 暗部没什么噪点 高光也不会过曝 不用后期修图也能直接存着 性能方面 日常用肯定够了 系统是OriginOS 6 操作起来很顺手 续航的话 早上充满电 刷手机拍照 6000mAh的电池玩一天问题不大 90W快充也很快,"['31', '英寸', '屏幕', '完美', '实现', '单手', '玩机', '120Hz', '刷新率', '滑动', '起来', '社交', '软件', '视频', '色彩', '亮度', '自然', '不会', '觉得', '刺眼', '像素', '主摄', '确实', '清晰', '暗部', '没什么', '噪点', '高光', '不会', '不用', '后期', '修图', '直接', '性能', '方面', '日常', '肯定', '系统', 'OriginOS', '操作', '起来', '顺手', '续航', '的话', '早上', '充满', '手机', '拍照', '6000mAh', '电池', '一天', '问题', '90W', '快充', '很快']","['31', '玩机', '120Hz', '刷新率', '主摄']",0.999640722352439,正向
103203730150896304,2025-11-21 20:36:33,外观设计时尚，手感特别好。屏幕显示效果清晰，色彩鲜艳。运行速度很快，玩游戏、看视频都很流畅。拍照效果也让我很满意，照片清晰又好看。电池续航能力也挺强的，用一天没问题。这次购物体验满意，推荐给大家！,5,a***9,纯粹黑,12+256G,外观设计时尚 手感特别好 屏幕显示效果清晰 色彩鲜艳 运行速度很快 玩游戏 看视频都很流畅 拍照效果也让我很满意 照片清晰又好看 电池续航能力也挺强的 用一天没问题 这次购物体验满意 推荐给大家,"['外观设计', '时尚', '手感', '特别', '屏幕显示', '效果', '清晰', '色彩鲜艳', '运行', '速度', '很快', '玩游戏', '视频', '流畅', '拍照', '效果', '满意', '照片', '清晰', '好看', '电池', '续航', '能力', '一天', '问题', '这次', '购物', '体验', '满意', '推荐', '大家']","['清晰', '满意', '效果', '屏幕显示', '玩游戏']",0.9999999999864586,正向
103283330151114096,2025-11-26 11:20:23,"vivo X300绝对是小屏旗舰里的&ldquo;全能选手&rdquo;！7.95mm超薄机身+190g重量，握感温润得像块鹅卵石，单手操作毫无压力，揣进口袋也不占地儿。6.31英寸直屏无误触烦恼，2160Hz高频调光超护眼，户外4500nit亮度看清屏幕毫无压力。
天玑9500+V3+影像芯片太能打，《原神》全高帧稳跑不烫手，多任务切换丝滑流畅。6040mAh大电池超耐用，重度使用一天还剩余电，90W快充半小时回血。蔡司2亿主摄抓拍超快，夜景纯净、人像肤色自然，跨设备互联还能无缝衔接苹果设备，日常用着省心又舒心",5,hv1mcerxy995yy,幸运彩,12+256G,vivo X300绝对是小屏旗舰里的 ldquo 全能选手 rdquo 7 95mm超薄机身 190g重量 握感温润得像块鹅卵石 单手操作毫无压力 揣进口袋也不占地儿 6 31英寸直屏无误触烦恼 2160Hz高频调光超护眼 户外4500nit亮度看清屏幕毫无压力 天玑9500 V3 影像芯片太能打 原神 全高帧稳跑不烫手 多任务切换丝滑流畅 6040mAh大电池超耐用 重度使用一天还剩余电 90W快充半小时回血 蔡司2亿主摄抓拍超快 夜景纯净 人像肤色自然 跨设备互联还能无缝衔接苹果设备 日常用着省心又舒心,"['vivo', 'X300', '绝对', '小屏', '旗舰', 'ldquo', '全能', '选手', 'rdquo', '95mm', '超薄', '机身', '190g', '重量', '握感', '温润', '鹅卵石', '单手操作', '毫无', '压力', '揣进', '口袋', '占地', '31', '英寸', '直屏', '无误', '烦恼', '2160Hz', '高频', '调光', '护眼', '户外', '4500nit', '亮度', '看清', '屏幕', '毫无', '压力', '天玑', '9500', 'V3', '影像', '芯片', '太能', '原神', '全高', '稳跑', '烫手', '多任务', '切换', '丝滑', '流畅', '6040mAh', '电池', '耐用', '重度', '使用', '一天', '剩余', '90W', '快充', '半小时', '回血', '蔡司', '亿主摄', '抓拍', '超快', '夜景', '纯净', '人像', '肤色', '自然', '设备', '互联', '无缝', '衔接', '苹果', '设备', '日常', '省心', '舒心']","['单手操作', '毫无', '天玑', 'vivo', 'X300']",0.9999998393715255,正向
103150470155328800,2025-11-13 09:47:30,双十一下单，第二天就收到啦。手机很好用，也很漂亮，非常满意。炫彩色，真的很暖，这个冬天不冷了。vivo的忠实粉丝，十几年了，用了四五个手机，都是购买的最新机型。好用，推荐。,5,xeke88g6blxn87,幸运彩,16+256G,双十一下单 第二天就收到啦 手机很好用 也很漂亮 非常满意 炫彩色 真的很暖 这个冬天不冷了 vivo的忠实粉丝 十几年了 用了四五个手机 都是购买的最新机型 好用 推荐,"['双十', '一下', '第二天', '收到', '手机', '很漂亮', '满意', '彩色', '这个', '冬天', '不冷', 'vivo', '忠实', '粉丝', '十几年', '四五个', '手机', '购买', '最新', '机型', '好用', '推荐']","['手机', 'vivo', '不冷', '好用', '双十']",0.9996220030984138,正向
