评论ID,评论时间,评论内容,评论得分,用户昵称,商品_颜色,商品_型号,清洗后评论,分词,关键词,情感得分,情感标签
24903059524,2025-11-03 14:14:50,"一加的新款Ace 6刚发售，就在抢购回来了。手机的外观不错的，黑色简洁大方。16G+256G的配置，加上Snapdragon 8至尊版，非常不错！
外形外观：很不错，手感好
屏幕音效：很好
拍照效果：很好
运行速度：很快
待机时间：大电池，待机时间长
一加的这款Ace 6 总体很不错，屏幕够大，电池够大，耐用，好看，总体很不错的！",5,s***m,竞黑,16GB+256GB,一加的新款Ace 6刚发售 就在抢购回来了 手机的外观不错的 黑色简洁大方 16G 256G的配置 加上Snapdragon 8至尊版 非常不错 外形外观 很不错 手感好 屏幕音效 很好 拍照效果 很好 运行速度 很快 待机时间 大电池 待机时间长 一加的这款Ace 6 总体很不错 屏幕够大 电池够大 耐用 好看 总体很不错的,"['一加', '新款', 'Ace', '发售', '抢购', '回来', '手机', '外观', '不错', '黑色', '简洁', '大方', '16G', '256G', '配置', '加上', 'Snapdragon', '至尊版', '不错', '外形', '外观', '不错', '手感', '屏幕', '音效', '拍照', '效果', '运行', '速度', '很快', '待机时间', '电池', '待机时间', '一加', '这款', 'Ace', '总体', '不错', '屏幕', '电池', '耐用', '好看', '总体', '不错']","['不错', '待机时间', '一加', 'Ace', '屏幕']",1.0,正向
103261090157590304,2025-11-23 14:37:16,"很早之前用过一加6，当时品控不是太好，给退了；
后来用过一加12，被双扬声+优质的图像显示种草了；
这次想找一个打游戏同时价格美丽的备用机时，我第一个就想到一加；
银色的外观加上ACE logo非常时尚，现在手机的品控也非常好，无任何瑕疵，同时这次的手机壳手感也很好；
游戏流畅度和画面很优秀，是一台非常棒的手机！",5,Boyoo1024,快银,16GB+512GB,很早之前用过一加6 当时品控不是太好 给退了 后来用过一加12 被双扬声 优质的图像显示种草了 这次想找一个打游戏同时价格美丽的备用机时 我第一个就想到一加 银色的外观加上ACE logo非常时尚 现在手机的品控也非常好 无任何瑕疵 同时这次的手机壳手感也很好 游戏流畅度和画面很优秀 是一台非常棒的手机,"['很早', '之前', '用过', '一加', '当时', '品控', '不是太好', '后来', '用过', '一加', '12', '扬声', '优质', '图像', '显示', '种草', '这次', '一个', '打游戏', '同时', '美丽', '备用机', '第一个', '想到', '一加', '银色', '外观', '加上', 'ACE', 'logo', '时尚', '现在', '手机', '品控', '任何', '瑕疵', '同时', '这次', '手机', '手感', '游戏', '流畅', '画面', '优秀', '一台', '手机']","['一加', '品控', '手机', '用过', '非常']",0.9999196687461587,正向
103192320157133296,2025-11-16 15:43:15,总算收到了期待已久的手机，一加老粉了，这么多年一直用的一加，对于我这种打工人来说一加的性价比太高了，2000元左右性能方面不输华为苹果，用起来很舒服，手机颜值也挺高,5,j***o,竞黑,16GB+256GB,总算收到了期待已久的手机 一加老粉了 这么多年一直用的一加 对于我这种打工人来说一加的性价比太高了 2000元左右性能方面不输华为苹果 用起来很舒服 手机颜值也挺高,"['总算', '收到', '期待已久', '手机', '一加', '老粉', '这么', '多年', '一直', '一加', '对于', '这种', '工人', '来说', '一加', '性价比', '太高', '2000', '左右', '性能', '方面', '不输', '华为', '苹果', '起来', '舒服', '手机', '颜值']","['一加', '手机', '老粉', '2000', '颜值']",0.9993819647989175,正向
103022750145958800,2025-11-25 13:58:33,"屏幕音效：屏幕效果很好不刺眼，没有网上说的这个屏幕不行，165hz打游戏还是不错的。
拍照效果：拍照像素还行，复合这个价位。
外形外观：大R角，外观好看。
待机时间：电池比旧手机耐用很多，一天一充出门回来还有很多电，根本不用带充电宝，安全感满满，充电速度也是快到飞起！",5,j***p,闪白,16GB+512GB,屏幕音效 屏幕效果很好不刺眼 没有网上说的这个屏幕不行 165hz打游戏还是不错的 拍照效果 拍照像素还行 复合这个价位 外形外观 大R角 外观好看 待机时间 电池比旧手机耐用很多 一天一充出门回来还有很多电 根本不用带充电宝 安全感满满 充电速度也是快到飞起,"['屏幕', '音效', '屏幕', '效果', '刺眼', '网上', '这个', '屏幕', '不行', '165hz', '打游戏', '不错', '拍照', '效果', '拍照', '像素', '复合', '这个', '价位', '外形', '外观', '外观', '好看', '待机时间', '电池', '比旧', '手机', '耐用', '很多', '一天', '一充', '出门', '回来', '还有', '很多', '根本', '不用', '充电', '安全感', '满满', '充电', '速度', '飞起']","['屏幕', '拍照', '充电', '外观', '待机时间']",0.9999994086657591,正向
24942384894,2025-11-07 13:08:32,一加手机，这是第二次买这个品牌的手机了，新手机很流畅体验感很好，这次的新款手机电池很大，续航能力很强，外观也好看，送货速度也很快，配送员服务也很好，当面激活签收，下次有需要再来光顾,5,j***l,竞黑,12GB+256GB,一加手机 这是第二次买这个品牌的手机了 新手机很流畅体验感很好 这次的新款手机电池很大 续航能力很强 外观也好看 送货速度也很快 配送员服务也很好 当面激活签收 下次有需要再来光顾,"['一加', '手机', '这是', '第二次', '这个', '品牌', '手机', '新手机', '流畅', '体验', '这次', '新款手机', '电池', '很大', '续航', '能力', '很强', '外观', '好看', '送货', '速度', '很快', '配送', '服务', '当面', '激活', '签收', '下次', '需要', '光顾']","['新款手机', '手机', '一加', '签收', '新手机']",0.9999992772068644,正向
25013402545,2025-11-15 15:29:04,头天下单的第二天就收到了，外观很漂亮，手感一流，运行速度非常快，一点都不卡。屏幕显示效果很清晰，天马屏也没有网上说的那么糟糕，120瓦充电好快，电池续航也不错，散热效果很好，正常使用一天没问题。,5,jd_183376ecg,闪白,16GB+256GB,头天下单的第二天就收到了 外观很漂亮 手感一流 运行速度非常快 一点都不卡 屏幕显示效果很清晰 天马屏也没有网上说的那么糟糕 120瓦充电好快 电池续航也不错 散热效果很好 正常使用一天没问题,"['天下', '第二天', '收到', '外观', '很漂亮', '手感', '一流', '运行', '速度', '一点', '不卡', '屏幕显示', '效果', '清晰', '天马', '网上', '那么', '糟糕', '120', '充电', '好快', '电池', '续航', '不错', '散热', '效果', '正常', '使用', '一天', '问题']","['不卡', '120', '效果', '屏幕显示', '好快']",0.9999998133018522,正向
103324370150668896,2025-11-29 19:39:31,手感舒适！原厂带的手机壳很好用！自己用一加15给老妈用AC6体验挺好的！大屏老人用着会舒服些！一加手机用了半个多月了！对显示，续航！声音，拍照都很满意！一加细节做的很棒！,5,jd_yulei22,闪白,12GB+256GB,手感舒适 原厂带的手机壳很好用 自己用一加15给老妈用AC6体验挺好的 大屏老人用着会舒服些 一加手机用了半个多月了 对显示 续航 声音 拍照都很满意 一加细节做的很棒,"['手感', '舒适', '原厂', '手机', '自己', '一加', '15', '老妈', 'AC6', '体验', '大屏', '老人', '舒服些', '一加', '手机', '半个', '多月', '显示', '续航', '声音', '拍照', '满意', '一加', '细节', '很棒']","['一加', '手机', '舒服些', '15', 'AC6']",0.9998441218637943,正向
103201320155656992,2025-11-20 20:01:17,"外形外观：简约大气上档次，有内涵
屏幕音效：屏幕护眼挺好的，扬声器音质也挺好的
拍照效果：拍照还可以，日常也够用
运行速度：运行速度很快，手机跟手性也很灵敏，湿手操控也很灵敏
待机时间：不打游戏的话可以用两天时间，",5,沙漠贪狼6,快银,16GB+512GB,外形外观 简约大气上档次 有内涵 屏幕音效 屏幕护眼挺好的 扬声器音质也挺好的 拍照效果 拍照还可以 日常也够用 运行速度 运行速度很快 手机跟手性也很灵敏 湿手操控也很灵敏 待机时间 不打游戏的话可以用两天时间,"['外形', '外观', '简约', '大气', '上档次', '内涵', '屏幕', '音效', '屏幕', '护眼', '扬声器', '音质', '拍照', '效果', '拍照', '日常', '够用', '运行', '速度', '运行', '速度', '很快', '手机', '手性', '灵敏', '湿手', '操控', '灵敏', '待机时间', '打游戏', '的话', '两天', '时间']","['拍照', '屏幕', '灵敏', '待机时间', '打游戏']",0.9999999997053386,正向
103273480152495808,2025-11-27 10:53:31,看了很多视频和资料才选的这个手机，拿到手机先严真，没有激活记录。拆开后样式还是很喜欢的，检查3码合一。确认保真保新。使用2天充电一次，电量确实充足。第一次用oppo系手机，还不太习惯。流畅度虽然没有哪些主播点一堆app高速切换那么夸张，但确实很好，我娃玩蛋仔派对说比同学们家用的手机强多了。屏幕也很清晰。虽然不主打拍照，实际远超我预期。总体很满意，给好评。,5,To_Love,闪白,12GB+256GB,看了很多视频和资料才选的这个手机 拿到手机先严真 没有激活记录 拆开后样式还是很喜欢的 检查3码合一 确认保真保新 使用2天充电一次 电量确实充足 第一次用oppo系手机 还不太习惯 流畅度虽然没有哪些主播点一堆app高速切换那么夸张 但确实很好 我娃玩蛋仔派对说比同学们家用的手机强多了 屏幕也很清晰 虽然不主打拍照 实际远超我预期 总体很满意 给好评,"['很多', '视频', '资料', '这个', '手机', '拿到', '手机', '先严', '激活', '记录', '拆开', '样式', '喜欢', '检查', '合一', '确认', '保真', '保新', '使用', '充电', '一次', '电量', '确实', '充足', '第一次', 'oppo', '手机', '习惯', '流畅', '虽然', '哪些', '主播点', '一堆', 'app', '高速', '切换', '那么', '夸张', '确实', '我娃', '派对', '同学', '家用', '手机', '强多', '屏幕', '清晰', '虽然', '主打', '拍照', '实际', '远超', '预期', '总体', '满意', '好评']","['手机', '先严', '保真', '保新', 'oppo']",0.997691540380585,正向
103114790147857296,2025-11-28 13:49:55,"外形外观：手机质感很好，玻璃背板摸着很舒服。
屏幕音效：天马屏也不错，没有网上说的这么差。
待机时间：充满电用一天，续航很满意。",5,L***L,竞黑,16GB+256GB,外形外观 手机质感很好 玻璃背板摸着很舒服 屏幕音效 天马屏也不错 没有网上说的这么差 待机时间 充满电用一天 续航很满意,"['外形', '外观', '手机', '质感', '玻璃', '背板', '舒服', '屏幕', '音效', '天马', '不错', '网上', '这么', '待机时间', '充满', '电用', '一天', '续航', '满意']","['待机时间', '音效', '电用', '背板', '天马']",0.9997788053838533,正向
