评论ID,评论时间,评论内容,评论得分,用户昵称,商品_颜色,商品_型号,清洗后评论,分词,关键词,情感得分,情感标签
25011970066,2025-11-15 11:46:17,Pura70手机到手后，第一感觉就是外观设计非常精致，握在手里大小正合适，边角圆润不割手。屏幕显示效果细腻，色彩还原度高，看视频玩游戏都很享受。性能方面，运行速度流畅，多任务处理毫无压力，大型游戏也能轻松应对。拍照功能更是让我惊喜，无论是白天还是夜晚，成像效果都很出色，细节丰富。电池续航能力强，满足我一天的使用需求。总体来说，这是一款性价比很高的手机。,5,0***呀,羽砂黑,12GB+512GB,Pura70手机到手后 第一感觉就是外观设计非常精致 握在手里大小正合适 边角圆润不割手 屏幕显示效果细腻 色彩还原度高 看视频玩游戏都很享受 性能方面 运行速度流畅 多任务处理毫无压力 大型游戏也能轻松应对 拍照功能更是让我惊喜 无论是白天还是夜晚 成像效果都很出色 细节丰富 电池续航能力强 满足我一天的使用需求 总体来说 这是一款性价比很高的手机,"['Pura70', '手机', '到手', '第一', '外观设计', '精致', '手里', '大小', '正合适', '边角', '圆润', '割手', '屏幕显示', '效果', '细腻', '色彩', '还原', '度高', '视频', '玩游戏', '享受', '性能', '方面', '运行', '速度', '流畅', '多任务处理', '毫无', '压力', '大型', '游戏', '轻松', '应对', '拍照', '功能', '更是', '惊喜', '无论是', '白天', '夜晚', '成像', '效果', '出色', '细节', '丰富', '电池', '续航', '能力', '满足', '一天', '使用', '需求', '总体', '来说', '这是', '一款', '性价比', '手机']","['割手', '手机', 'Pura70', '度高', '多任务处理']",1.0,正向
102634430138650208,2025-11-20 20:49:14,之前买过一部华为P40   用了好多年了   电池和内存都不行了  这次换手机还是选华为的   京东自营正品   物流很快  P70外观好看   有质感   操作流畅   用了一个来月了   没出现问题,5,e***a,羽砂黑,12GB+512GB,之前买过一部华为P40 用了好多年了 电池和内存都不行了 这次换手机还是选华为的 京东自营正品 物流很快 P70外观好看 有质感 操作流畅 用了一个来月了 没出现问题,"['之前', '买过', '一部', '华为', 'P40', '好多年', '电池', '内存', '不行', '这次', '手机', '华为', '京东', '自营', '正品', '很快', 'P70', '外观', '好看', '质感', '操作', '流畅', '一个', '出现', '问题']","['华为', 'P40', 'P70', '正品', '买过']",0.9984517357524976,正向
102910840149167392,2025-11-26 09:14:59,拍照神器，随手出大片！ 夜景和人像效果绝了，朋友圈点赞收割机。 续航给力，告别电量焦虑！ 重度使用一天一充完全没问题，快充速度惊人。 颜值天花板，手感一流！ 这设计和质感，拿在手里就是一种享受。,5,思加图001,雪域白,12GB+512GB,拍照神器 随手出大片 夜景和人像效果绝了 朋友圈点赞收割机 续航给力 告别电量焦虑 重度使用一天一充完全没问题 快充速度惊人 颜值天花板 手感一流 这设计和质感 拿在手里就是一种享受,"['拍照', '神器', '随手', '大片', '夜景', '效果', '朋友', '圈点', '收割机', '续航', '给力', '告别', '电量', '焦虑', '重度', '使用', '一天', '一充', '完全', '问题', '快充', '速度', '惊人', '颜值', '天花板', '手感', '一流', '设计', '质感', '手里', '一种', '享受']","['给力', '一充', '快充', '颜值', '圈点']",0.9999996290999954,正向
25001976081,2025-11-13 23:24:18,我最近入手的这款手机，简直是宝藏!外观设计时尚，线条流畅，握感舒适。屏幕显示清晰，色彩鲜艳，视觉体验超棒。性能更是强劲，运行速度快，多任务处理也不卡顿。拍照功能也很出色，拍出的照片画质清晰、色彩还原度高。价格还实惠，性价比无敌，爱了爱了👍,5,l***-,羽砂黑,12GB+512GB,我最近入手的这款手机 简直是宝藏 外观设计时尚 线条流畅 握感舒适 屏幕显示清晰 色彩鲜艳 视觉体验超棒 性能更是强劲 运行速度快 多任务处理也不卡顿 拍照功能也很出色 拍出的照片画质清晰 色彩还原度高 价格还实惠 性价比无敌 爱了爱了,"['最近', '入手', '这款', '手机', '简直', '宝藏', '外观设计', '时尚', '线条', '流畅', '握感', '舒适', '屏幕显示', '清晰', '色彩鲜艳', '视觉', '体验', '超棒', '性能', '更是', '强劲', '运行', '速度', '多任务处理', '不卡顿', '拍照', '功能', '出色', '拍出', '照片', '画质', '清晰', '色彩', '还原', '度高', '实惠', '性价比', '无敌']","['清晰', '握感', '超棒', '多任务处理', '不卡顿']",1.0,正向
24967677173,2025-11-10 12:45:18,作为摄影爱好者，这款华为手机的影像系统彻底征服了我。可变光圈和长焦镜头非常专业，无论是拍风景还是人像，细节和色彩还原都极其出色。尤其是夜景模式，手持就能拍出非常纯净明亮的照片，效果堪比相机。系统流畅，充电速度也快。如果你对拍照有高要求，选它绝对没错！,5,门口丂,羽砂黑,12GB+512GB,作为摄影爱好者 这款华为手机的影像系统彻底征服了我 可变光圈和长焦镜头非常专业 无论是拍风景还是人像 细节和色彩还原都极其出色 尤其是夜景模式 手持就能拍出非常纯净明亮的照片 效果堪比相机 系统流畅 充电速度也快 如果你对拍照有高要求 选它绝对没错,"['作为', '摄影', '爱好者', '华为', '手机', '影像', '系统', '彻底', '征服', '可变', '光圈', '长焦', '镜头', '专业', '无论是', '风景', '人像', '细节', '色彩', '还原', '极其', '出色', '尤其', '夜景', '模式', '手持', '拍出', '纯净', '明亮', '照片', '效果', '堪比', '相机', '系统', '流畅', '充电', '速度', '拍照', '要求', '选它', '绝对', '没错']","['长焦', '堪比', '选它', '光圈', '拍出']",0.999999988916814,正向
102640560144592608,2025-11-21 11:14:09,终于拿到了期待已久的华为Pura 70！手感一流，颜值太能打了，绝对是手机界的颜值担当。最让我惊艳的是它的影像能力，随手一拍就是大片，细节和色彩都超级棒。鸿蒙系统运行丝滑流畅，操作起来非常跟手。续航也很给力，配合超快充电，一天下来毫无压力。从下单到收货，京东物流一如既往地快。非常满意的一次购物，国货之光，强烈推荐！,5,shimian_plus,雪域白,12GB+512GB,终于拿到了期待已久的华为Pura 70 手感一流 颜值太能打了 绝对是手机界的颜值担当 最让我惊艳的是它的影像能力 随手一拍就是大片 细节和色彩都超级棒 鸿蒙系统运行丝滑流畅 操作起来非常跟手 续航也很给力 配合超快充电 一天下来毫无压力 从下单到收货 京东物流一如既往地快 非常满意的一次购物 国货之光 强烈推荐,"['终于', '拿到', '期待已久', '华为', 'Pura', '70', '手感', '一流', '颜值', '太能', '绝对', '手机', '颜值', '担当', '惊艳', '影像', '能力', '随手', '一拍', '大片', '细节', '色彩', '超级', '鸿蒙', '系统', '运行', '丝滑', '流畅', '操作', '起来', '跟手', '续航', '配合', '超快', '充电', '一天', '下来', '毫无', '压力', '下单', '收货', '京东', '一如既往', '地快', '满意', '一次', '购物', '国货', '之光', '强烈推荐']","['颜值', 'Pura', '70', '太能', '丝滑']",0.9999999989871247,正向
103033870145155600,2025-11-19 21:16:06,这么多年，一直用华为手机。使用体验很好，运行速度很快，拍照效果很好，外形也美观大方。旧机和新机手机克隆很方便，所有数据完美迁移，完全没有换机感觉，非常满意。,5,jd_如风的思,羽砂黑,12GB+512GB,这么多年 一直用华为手机 使用体验很好 运行速度很快 拍照效果很好 外形也美观大方 旧机和新机手机克隆很方便 所有数据完美迁移 完全没有换机感觉 非常满意,"['这么', '多年', '一直', '华为', '手机', '使用', '体验', '运行', '速度', '很快', '拍照', '效果', '外形', '美观大方', '旧机', '新机', '手机', '克隆', '方便', '所有', '数据', '完美', '迁移', '完全', '换机', '满意']","['手机', '换机', '旧机', '美观大方', '新机']",0.9999999434867216,正向
24998082740,2025-11-13 16:59:41,一直以来都是华为手机的铁粉。最近换了这款雪域白，亮点实在太多了。外观时尚漂亮，储存空间超大，拍摄清晰度高。信号稳定，不受干扰，在没有地面网络时还能发送和接收卫星消息。感觉配置大大提高了，很赞！,5,a***2,雪域白,12GB+512GB,一直以来都是华为手机的铁粉 最近换了这款雪域白 亮点实在太多了 外观时尚漂亮 储存空间超大 拍摄清晰度高 信号稳定 不受干扰 在没有地面网络时还能发送和接收卫星消息 感觉配置大大提高了 很赞,"['一直', '以来', '华为', '手机', '铁粉', '最近', '这款', '雪域', '亮点', '实在', '太多', '外观', '时尚', '漂亮', '储存', '空间', '超大', '拍摄', '清晰度', '信号', '稳定', '干扰', '地面', '网络', '发送', '接收', '卫星', '消息', '配置', '大大提高', '很赞']","['很赞', '铁粉', '雪域', '清晰度', '华为']",0.9956917890365851,正向
25016521124,2025-11-15 23:09:02,京东的速度发货就是快，第2天一收到货就立马开机使用，还是很喜欢P70这个摄像头的样子，很酷。拍照用起来也很丝滑，高清远景拍摄之后，再放大来看，没有像以前的相机一放大就出那种马赛克的质感，这个手机拍出来的放大了看也还是很清晰的。对此很满意。,5,橘***儿,雪域白,12GB+512GB,京东的速度发货就是快 第2天一收到货就立马开机使用 还是很喜欢P70这个摄像头的样子 很酷 拍照用起来也很丝滑 高清远景拍摄之后 再放大来看 没有像以前的相机一放大就出那种马赛克的质感 这个手机拍出来的放大了看也还是很清晰的 对此很满意,"['京东', '速度', '发货', '天一', '收到', '立马', '开机', '使用', '喜欢', 'P70', '这个', '摄像头', '样子', '很酷', '拍照', '起来', '高清', '远景', '拍摄', '之后', '放大', '来看', '以前', '相机', '放大', '那种', '马赛克', '质感', '这个', '手机', '出来', '放大', '清晰', '对此', '满意']","['放大', '很酷', 'P70', '马赛克', '发货']",0.997745311339805,正向
103172690155112400,2025-11-15 16:19:43,一直是华为用户，用过几款手机都耐用耐摔。这款手机的设计我很喜欢，简约又时尚，日常使用流畅，拍照效果也不错，很值得入手。,5,jd_83nt44dr4fknwi,雪域白,12GB+512GB,一直是华为用户 用过几款手机都耐用耐摔 这款手机的设计我很喜欢 简约又时尚 日常使用流畅 拍照效果也不错 很值得入手,"['一直', '华为', '用户', '用过', '几款', '手机', '耐用', '手机', '设计', '喜欢', '简约', '时尚', '日常', '使用', '流畅', '拍照', '效果', '不错', '值得', '入手']","['手机', '几款', '华为', '简约', '拍照']",0.9999999200435905,正向
