评论ID,评论时间,评论内容,评论得分,用户昵称,商品_颜色,商品_型号,清洗后评论,分词,关键词,情感得分,情感标签
24951740040,2025-11-08 14:33:17,京东物流超给力，隔天就收到啦！小米17 Pro霁风紫真机颜值绝了，AG磨砂背板质感高级，光影下渐变超灵动还不沾指纹。16G+512G配置太够用，多应用切换丝滑无卡顿，文件照片随便存。直屏手感舒适不误触，徕卡三摄拍照清晰有质感，日常使用太省心。旗舰配置+神仙颜值，这个选择太值了，推荐入手！,5,B***Z,冷烟紫,16GB+512GB,京东物流超给力 隔天就收到啦 小米17 Pro霁风紫真机颜值绝了 AG磨砂背板质感高级 光影下渐变超灵动还不沾指纹 16G 512G配置太够用 多应用切换丝滑无卡顿 文件照片随便存 直屏手感舒适不误触 徕卡三摄拍照清晰有质感 日常使用太省心 旗舰配置 神仙颜值 这个选择太值了 推荐入手,"['京东', '超给力', '隔天', '收到', '小米', '17', 'Pro', '风紫真', '机颜值', 'AG', '磨砂', '背板', '质感', '高级', '光影', '渐变', '灵动', '指纹', '16G', '512G', '配置', '够用', '应用', '切换', '丝滑', '无卡顿', '文件', '照片', '随便', '直屏', '手感', '舒适', '误触', '卡三摄', '拍照', '清晰', '质感', '日常', '使用', '省心', '旗舰', '配置', '神仙', '颜值', '这个', '选择', '太值', '推荐', '入手']","['质感', '误触', '磨砂', '超给力', '17']",0.9983543166438715,正向
24987571983,2025-11-12 13:27:11,裸机触感很好，光滑，沉手又不厚重，挺惬意的握感，软件基本都是秒启动，操作极端丝滑，背屏很有点意思，后置摄像头拍照，清晰度不是前置可以比拟的，操作页面和图标，跟水果机没太大差别，触感也相似，秒上手，没有不适应，手机还有很多功能待学习，这个价格，这个质感，非常满意,5,萌***眯,黑色,16GB+1TB,裸机触感很好 光滑 沉手又不厚重 挺惬意的握感 软件基本都是秒启动 操作极端丝滑 背屏很有点意思 后置摄像头拍照 清晰度不是前置可以比拟的 操作页面和图标 跟水果机没太大差别 触感也相似 秒上手 没有不适应 手机还有很多功能待学习 这个价格 这个质感 非常满意,"['裸机', '触感', '光滑', '沉手', '厚重', '惬意', '握感', '软件', '基本', '启动', '操作', '极端', '丝滑', '背屏', '有点', '意思', '后置', '摄像头', '拍照', '清晰度', '不是', '前置', '比拟', '操作', '页面', '图标', '水果机', '没太大', '差别', '触感', '相似', '适应', '手机', '还有', '很多', '功能', '学习', '这个', '这个', '质感', '满意']","['触感', '裸机', '沉手', '握感', '丝滑']",0.9996602600686931,正向
24950085672,2025-11-08 10:06:11,京东大赞，不论物流还是包装，以及品质，都是很有保证！这个月买的第二台手机，好久没用小米了，早些年用过2s，后来就没再用过小米，这次买了小米17pro，很惊艳，小屏就是香，大屏放裤袋很难受，外观跟苹果17pro很像。最后一句，紫色真骚，非常好看😄,5,e***1,冷烟紫,16GB+512GB,京东大赞 不论物流还是包装 以及品质 都是很有保证 这个月买的第二台手机 好久没用小米了 早些年用过2s 后来就没再用过小米 这次买了小米17pro 很惊艳 小屏就是香 大屏放裤袋很难受 外观跟苹果17pro很像 最后一句 紫色真骚 非常好看,"['京东', '大赞', '不论', '以及', '品质', '保证', '这个', '第二台', '手机', '好久没', '小米', '早些', '年用', '2s', '后来', '小米', '这次', '小米', '17pro', '惊艳', '小屏', '大屏', '裤袋', '难受', '外观', '苹果', '17pro', '最后', '一句', '紫色', '真骚', '好看']","['小米', '17pro', '第二台', '大赞', '年用']",0.9999941326100905,正向
103252290156836192,2025-11-24 12:36:21,小米17 Pro手感很舒服，6.3英寸直屏无弹窗，1.5K分辨率+自适应高刷顺滑护眼。骁龙8至尊版性能够劲，游戏追剧不卡顿。徕卡三摄成像清晰有质感，长焦实用。6300mAh大电池续航抗打，100W快充补能快，日常用很省心，从小米三一直用到了小米17并没有网上说的那么不堪，现在是现在网上都是拿放大镜一个字一个字挖来黑，但并不影响我喜欢,5,残***灬,森野绿,16GB+1TB,小米17 Pro手感很舒服 6 3英寸直屏无弹窗 1 5K分辨率 自适应高刷顺滑护眼 骁龙8至尊版性能够劲 游戏追剧不卡顿 徕卡三摄成像清晰有质感 长焦实用 6300mAh大电池续航抗打 100W快充补能快 日常用很省心 从小米三一直用到了小米17并没有网上说的那么不堪 现在是现在网上都是拿放大镜一个字一个字挖来黑 但并不影响我喜欢,"['小米', '17', 'Pro', '手感', '舒服', '英寸', '直屏', '弹窗', '5K', '分辨率', '适应', '高刷', '顺滑', '护眼', '骁龙', '至尊版', '性能', '够劲', '游戏', '追剧', '不卡顿', '卡三摄', '成像', '清晰', '质感', '长焦', '实用', '6300mAh', '电池', '续航', '抗打', '100W', '快充', '补能', '日常', '省心', '从小', '一直', '用到', '小米', '17', '网上', '那么', '不堪', '现在', '现在', '网上', '放大镜', '一个', '一个', '影响', '喜欢']","['17', '小米', '抗打', '至尊版', '够劲']",0.9999216267538724,正向
25023034555,2025-11-17 00:44:50,期待了很久终于拿到手了，双11买的有优惠，分期付没压力，还有耳机送，手机拿到手很舒适，体验感很好，非常丝滑，最喜欢背屏，动图太可爱了吧，电池续航绝了，终于不用再总担心手机没电了。爱了，喜欢，从此入了小米坑,5,L***5,森野绿,16GB+512GB,期待了很久终于拿到手了 双11买的有优惠 分期付没压力 还有耳机送 手机拿到手很舒适 体验感很好 非常丝滑 最喜欢背屏 动图太可爱了吧 电池续航绝了 终于不用再总担心手机没电了 爱了 喜欢 从此入了小米坑,"['期待', '终于', '拿到', '11', '优惠', '分期', '压力', '还有', '耳机', '手机', '拿到', '舒适', '体验', '丝滑', '喜欢', '背屏', '动图', '可爱', '电池', '续航', '终于', '不用', '担心', '手机', '没电', '喜欢', '从此', '小米']","['拿到', '手机', '11', '丝滑', '背屏']",0.9999819504511265,正向
103113770147800896,2025-11-18 20:58:10,手机收到啦，物流超给力，隔天就到了！外观和图片一致，颜值在线，握着手感很舒服。开机流畅不卡顿，日常刷视频、聊微信、看小说完全够用，电池续航也超出预期，正常使用一天下来还有余电。拍照效果比想象中好，色彩清晰自然，性价比直接拉满～ 推荐给想入手备用机或学生党的朋友，物超所值！,5,491zeen63yq964,黑色,16GB+1TB,手机收到啦 物流超给力 隔天就到了 外观和图片一致 颜值在线 握着手感很舒服 开机流畅不卡顿 日常刷视频 聊微信 看小说完全够用 电池续航也超出预期 正常使用一天下来还有余电 拍照效果比想象中好 色彩清晰自然 性价比直接拉满 推荐给想入手备用机或学生党的朋友 物超所值,"['手机', '收到', '超给力', '隔天', '外观', '图片', '一致', '颜值', '在线', '手感', '舒服', '开机', '流畅', '不卡顿', '日常', '视频', '聊微信', '小说', '完全', '够用', '电池', '续航', '超出', '预期', '正常', '使用', '一天', '下来', '还有', '余电', '拍照', '效果', '想象', '中好', '色彩', '清晰', '自然', '性价比', '直接', '拉满', '推荐', '入手', '备用机', '学生', '朋友', '物超所值']","['超给力', '颜值', '不卡顿', '聊微信', '余电']",0.9999999998806897,正向
24935158520,2025-11-06 18:49:30,"外形外观：很有特点！很喜欢背屏，每天都换主题，爽歪歪了！
运行速度：很流畅！比以前好很多了！不卡！
待机时间：还不错！",5,jd_juncen,白色,16GB+512GB,外形外观 很有特点 很喜欢背屏 每天都换主题 爽歪歪了 运行速度 很流畅 比以前好很多了 不卡 待机时间 还不错,"['外形', '外观', '特点', '喜欢', '背屏', '每天', '主题', '爽歪歪', '运行', '速度', '流畅', '以前', '很多', '不卡', '待机时间', '不错']","['爽歪歪', '待机时间', '背屏', '不卡', '流畅']",0.9999999464571148,正向
24895300534,2025-11-02 14:07:53,白色一如既往的好看，首发权益比较划算。这次的大R角设计颜值拉满。潜望长焦远摄能力更强，画质清晰。比标准版的底好像大了点，1/1.28英寸感光能力更强。背屏设计很有趣，可以自定义壁纸和主题，可玩性高。,5,-***e,白色,16GB+512GB,白色一如既往的好看 首发权益比较划算 这次的大R角设计颜值拉满 潜望长焦远摄能力更强 画质清晰 比标准版的底好像大了点 1 1 28英寸感光能力更强 背屏设计很有趣 可以自定义壁纸和主题 可玩性高,"['白色', '一如既往', '好看', '首发', '权益', '划算', '这次', '设计', '颜值', '拉满', '潜望', '焦远', '能力', '更强', '画质', '清晰', '标准版', '好像', '28', '英寸', '感光', '能力', '更强', '背屏', '设计', '有趣', '自定义', '壁纸', '主题', '可玩性']","['更强', '自定义', '标准版', '颜值', '拉满']",0.9989268822322565,正向
24879791620,2025-10-31 20:04:32,小米17 Pro森野绿颜值绝了！磨砂质感高级不沾指纹，徕卡光影大师镜头拍出来的照片质感拉满，色彩真实又有氛围感。第五代骁龙8至尊版性能超强，多开APP、玩大型游戏都丝滑无卡顿，妙享背屏实用又酷炫。512GB大存储足够用，续航也靠谱，日常通勤一天下来还有余电，5G信号稳定，整体体验超棒，性价比拉满！,5,E***3,森野绿,12GB+512GB,小米17 Pro森野绿颜值绝了 磨砂质感高级不沾指纹 徕卡光影大师镜头拍出来的照片质感拉满 色彩真实又有氛围感 第五代骁龙8至尊版性能超强 多开APP 玩大型游戏都丝滑无卡顿 妙享背屏实用又酷炫 512GB大存储足够用 续航也靠谱 日常通勤一天下来还有余电 5G信号稳定 整体体验超棒 性价比拉满,"['小米', '17', 'Pro', '森野', '绿颜值', '磨砂', '质感', '高级', '指纹', '光影', '大师', '镜头', '出来', '照片', '质感', '拉满', '色彩', '真实', '氛围', '第五代', '骁龙', '至尊版', '性能', '超强', '多开', 'APP', '大型', '游戏', '丝滑', '无卡顿', '妙享', '背屏', '实用', '512GB', '存储', '足够', '续航', '日常', '通勤', '一天', '下来', '还有', '余电', '5G', '信号', '稳定', '整体', '体验', '超棒', '性价比', '拉满']","['拉满', '质感', '至尊版', '磨砂', '通勤']",0.9999999999989135,正向
24886729655,2025-11-01 15:57:03,"1.&nbsp;性能全能型
小米17 Pro太适合大学生！第五代骁龙8玩游戏秒进不卡，6300mAh电池管一天，背屏看消息超方便，性能续航都在线。
2.&nbsp;拍照颜值型
冷烟紫配色超好看，手感轻薄。徕卡镜头拍作业、风景巨清晰，逆光也出彩。背屏自拍超实用，上课用着超省心。
3.&nbsp;续航实用型
续航太顶了！满电用一天还剩电，100W快充救急快。小屏单手好握，性能流畅，刷课、追剧、游戏全搞定，超值。",5,l***1,冷烟紫,16GB+1TB,1 nbsp 性能全能型 小米17 Pro太适合大学生 第五代骁龙8玩游戏秒进不卡 6300mAh电池管一天 背屏看消息超方便 性能续航都在线 2 nbsp 拍照颜值型 冷烟紫配色超好看 手感轻薄 徕卡镜头拍作业 风景巨清晰 逆光也出彩 背屏自拍超实用 上课用着超省心 3 nbsp 续航实用型 续航太顶了 满电用一天还剩电 100W快充救急快 小屏单手好握 性能流畅 刷课 追剧 游戏全搞定 超值,"['nbsp', '性能', '全能型', '小米', '17', 'Pro', '适合', '大学生', '第五代', '骁龙', '玩游戏', '进不卡', '6300mAh', '电池', '一天', '背屏', '消息', '方便', '性能', '续航', '在线', 'nbsp', '拍照', '颜值', '冷烟', '配色', '好看', '手感', '轻薄', '镜头', '作业', '风景', '清晰', '逆光', '出彩', '背屏', '自拍超', '实用', '上课', '省心', 'nbsp', '续航', '实用型', '续航', '太顶', '满电', '一天', '剩电', '100W', '快充', '救急', '小屏', '单手', '好握', '性能', '流畅', '刷课', '追剧', '游戏', '搞定', '超值']","['nbsp', '续航', '背屏', '性能', '满电']",0.9999999997110749,正向
