评论ID,评论时间,评论内容,商品_颜色,评论得分,用户昵称
22778939209,2025-04-01 09:45:26,"舒适程度：佩戴上很舒服。
续航能力：新手表没充电，续航不错。
主要功能：功能很强大，满足使用。
做工质量：很好，相信华为。
外形外观：很帅气，好看！
值得购买，快递很快，有国补，简直太香了。",46mm大表 苍山灰,5,凡***水
22885196645,2025-04-10 10:58:16,"在黑色和灰色之间纠结了好久，
最终选择灰色，因为我是女生，骨骼大，之前黑色的丢失了，灰色更中性化，大表盘配灰色带，很喜欢。
主要功能：血压血氧情绪
续航能力：目前还没充电刚两天
舒适程度：舒服
精准程度：精准
孕妇妈妈的友好，建议开发孕妇功能",46mm大表 苍山灰,5,D***4
22988678422,2025-04-18 10:57:39,这个手表新配色很好看，不错，华为GT5智能手表延续系列优势，采用轻薄金属机身与高清AMOLED屏，质感出众。两周超长续航支持无线快充，搭载精准心率、血氧、睡眠监测功能，新增科学减脂算法。支持100+运动模式与双频GPS定位，配合鸿蒙系统流畅交互，兼顾商务与运动场景，是全能型穿戴优选。,46mm大表 苍山灰,5,帅***爷
22737652121,2025-03-28 10:18:20,物流很快，服务态度很好，华为手表，外观漂亮，去年买的GT4就非常好用，没事检测个睡眠，运动等等，跑步的时候必须带着，看着心率。电池待机时间长，国补买的，满意,46mm大表 苍山灰,5,马***飞
22794820878,2025-04-02 12:55:01,新款GT5真香啊。果然还是新款好。华为手表作为普通运动爱好者来说真的是性价比No1没有比华为性价比更高的了。要么续航不行，要不功能不行。,46mm大表 苍山灰,5,是***啊
23348353756,2025-05-10 11:02:45,"主要功能：运动监测，健康监测，付款，心脏检测 很多&hellip;&hellip;
续航能力：很不错，续航久
舒适程度：佩戴很舒服，也不硌手
外形外观：超好看，一开始就是冲着颜值买单的，佩戴也特别的漂亮，运动风，上手超级好看
做工质量：质量非常的不错，表带很好看",46mm大表 幻夜黑,5,久***_
23493333759,2025-05-18 13:26:31,"华为手表真的超出预期！健康监测功能精准，运动模式丰富，续航也持久，日常使用完全没问题，值得推荐！

买来用了几天，充电方便，数据记录准确，特别适合运动爱好者，性价比很高，满意！

华为手表设计时尚，操作流畅，功能齐全，既能监测健康又能在运动中提供帮助，朋友看到都问链接！

物流速度超快，包装严实，手表运行稳定，功能完全符合描述，用着很顺手，下次还会回购！

对比了好几家选的这款，果然没失望！轻薄耐用，功能强大，日常管理健康和运动都很方便，好评！",46mm大表 苍山灰,5,u***l
23485912586,2025-05-17 21:37:39,早都想买一个华为GT5智能手表，赶上京东有活动，果断入手了！价格很美丽，功能很齐全，是我想要的！华为GT5的外观比大部分同价位手表好看，表壳前端为不锈钢，后盖采用高性能纤维增强复合材料，兼顾轻盈与耐用性，而且待机时间很长！华为GT5搭载了玄玑感知系统，情绪健康开关开启时，静止状态下设备会自动测量压力值、情绪状态及相关特征，佩戴一段时间后，会生成情绪值，我很喜欢！！还有好多功能慢慢研究！是值得推荐一款智能手表！,46mm大表 幻夜黑,5,我***你
23427942039,2025-05-14 22:28:19,隔天收到手表物流速度快，国补需要收货现场激活拍照记录。外观好看精致，搭配的表盘也实用，幻夜黑耐看、运动风格，带电68%，盒里面搭配圆头充电线，这几天看看耗电情况。屏幕显示效果佳，有送表带，是氟橡胶，不会导致皮肤过敏、质地舒服。以前用的是GT4，当天就测试了睡眠、户外跑步和室内跑步，记录很精准，特别是在跑步机上跑步手表的跑步数据，与跑步机上显示的一致。一天下来，体验很不错，先把初步的感受写下来,46mm大表 幻夜黑,5,小***4
23351981884,2025-05-10 13:57:41,"精准程度：华为玄玑感知很灵敏也准确
续航能力：全天候息屏显示续航也能超过一周真的很赞
做工质量：做工精致，使用一周未发现磨损
其他特色：心情表盘有趣可爱
外形外观：黑色很大气，华为的设计很在线
灵敏度：流畅丝滑
满意的一次购买体验，希望越做越好！",46mm大表 幻夜黑,5,j***m
23242993284,2025-05-04 11:06:06,"外形外观：颜值高！屏幕大！待机时间长！全是优点买就完了！
主要功能：玄玑感知系统健康指标监测心率、血氧、呼吸率、压力、体温等功能，重点喜欢情绪健康，熊猫表盘很萌很可爱！运动涂鸦可以根据制定的路线进行运动。
续航能力：续航也很给力，重度使用了一天一夜下降了10%的电量，一星期一充没问题，基本上不用担心续航问题。
舒适程度：舒适程度：戴上轻便不压手 黑色大气，舒适好看，心情好",46mm大表 幻夜黑,5,夏***-
23447596355,2025-05-15 19:53:06,手表真的很不错，刚开始看的 GT5pro 版的，感觉不如 GT5 外观好看，我是男生，虽然新款比老款多了几项功能，潜水说真的没什么必要，我是 80 后，买表主要是用作心率血氧体温睡眠监测这些功能，打电话都无所谓，手机不离手的时代！也看了苹果手表，说真的不如华为，这款待机最少 10 天起，苹果 2 天一大关了！智能手表体验还得是华为🤙！外关，功能，待机，舒适度都很不错！而且价格是真香，国补后 1094 到手价格，京东自营有保障！正品一手货源！大家不要犹豫，1000 元左右的电子手表，我敢说这款性价比最高了！抓紧入吧铁子们，这个价格少去一趟足疗就有了😊,46mm大表 幻夜黑,5,创***宇
23249679362,2025-05-04 19:35:06,"主要功能：使用起来太方便了，主要的功能都有
续航能力：续航能力可以超越官方标注，绝对遥遥领先
舒适程度：带上去很轻松，很适合佩戴
精准程度：不管是各个方面都很精准
其他特色：特色太多了
灵敏度：好的不得了
准确性：准确度没有问题
操作难易：单独操作，APp操作都可以，方便
做工质量：看起来很精致
外形外观：外形漂亮，耐磨性高
其他特色：
情绪检测:很好玩的熊猫，就是因为这个才买了这个手表
运动涂鸦:买了这个手表爱上运动了
产品外观:外观漂亮，不管是哪个年龄段的都适合佩戴",46mm大表 幻夜黑,5,j***k
23561764365,2025-05-22 09:55:42,"外观很耐看，设计简单时尚。超长续航支持无线快充，搭载精准心率、血氧、睡眠监测功能，新增科学減脂算法。这一款智能手表，使用了一段时间功能方便，健康和健身追踪功能实用，准确记录心率、运动数据，助我了解身体状况，科学健身。
电池寿命杠杠的！长时间使用无需频繁充电，对经常忘记充电的我来说，太友好了。
硬件和软件出色，显示效果极佳，看视频、图片都清晰。处理器强大，运行各种应用程序流畅无比。",46mm大表 幻夜黑,5,j***o
23251994500,2025-05-04 22:33:51,"佩戴GT 5的第一天就被它的情绪监测功能惊艳到&mdash;&mdash;加班时手表轻震提醒「压力值升高」，配合呼吸引导，像有个贴心助理在腕间守护健康。运动涂鸦玩法超有趣，跑步轨迹能画出生动图案，让枯燥的运动瞬间变成创意游戏！  
外观上，蓝宝石玻璃镜面+钛金属表圈经受住了钥匙刮蹭考验，健身房器械碰撞也毫无压力，阳光下表盘流光质感依然高级。续航更是惊喜，重度使用一周仍有余电，彻底告别智能手表「一日一充」的焦虑",46mm大表 幻夜黑,5,j***水
23587877892,2025-05-24 12:20:06,华为WATCH GT5的八边形金属表圈设计极具辨识度，316L不锈钢机身+超硬镀膜工艺让手表耐磨抗刮，我这款黑色的配色商务与运动风格兼备，阳光下光泽感十足，佩戴起来高级感满满哟，尤其是搭载的情绪检测功能，哇哦，分析的杠杠滴&hellip;怎么说呢，满意很满意。已经迫不及待想要炫耀喽！,46mm大表 幻夜黑,5,阿***蠢
23213788340,2025-05-02 14:18:45,"给老公选的，收到后手感很好，他很满意👍。这个手表情绪检测，开心，不开心，小熊猫都有变化。这个功能还是挺准的，能比较真实地反映情绪变化✨。
老公喜欢游泳🏊&zwj;♂️，跑步、运动检测功能实时的记录运动的里程和消耗的热量。还能外放听歌。
黑色的外观独特的涉及，精致耐看，表盘灵敏，特别是表带戴上很是舒服。👍👍👍",46mm大表 幻夜黑,5,赖***雨
23386406998,2025-05-12 21:00:52,"这块手表黑色很耐看，设计简单时尚。超长续航支持无线快充，搭载精准心率、血氧、睡眠监测功能，新增科学减脂算法。这一款智能手表，使用了一段时间功能方便，健康和健身追踪功能实用，准确记录心率、运动数据，助我了解身体状况，科学健身。
电池寿命杠杠的！长时间使用无需频繁充电，对经常忘记充电的我来说，太友好了。
硬件和软件出色，显示效果极佳，看视频、图片都清晰。处理器强大，运行各种应用程序流畅无比。",46mm大表 幻夜黑,5,j***c
23197480172,2025-05-01 11:41:54,京东次日达前一天下单，第二天上午就到货了。快递小哥现场帮助开箱验货，也是为了防止国补名额被乱用。和媳妇研究了好几天，最终选定帕托蓝，非常满意外观，质感很棒。那个情绪监测功能非常好，尤其是那个熊猫屏显，非常可爱，孩子看了嚷着要看熊猫。刚激活戴上，同事就来了俩电话，童通话音质非常好，蓝牙信号还是很稳定的。里边功能很多，什么血氧监测、心率监测以及运动功能有待进一步研究，可玩性很高。,46mm大表 托帕蓝,5,j***g
23596437055,2025-05-25 10:47:07,灰色外观看着很高大上，是我喜欢的。搭载了玄机感知系统，功能很齐全，情绪检测、健康检测等等。熊猫主题设计的非常有趣，表带材质氟橡胶，戴上轻便不压手，没有不适应。赶上京东有活动，配合国补优惠了不少，性价比很高，果断的入手了。物流速度很快，服务态度很好，当场配合快递小哥签收激活。很值得推荐的一款手表。,46mm大表 苍山灰,5,3***1
23262602048,2025-05-05 15:03:35,"这一款智能手表，设计精美，雪域白尖尾表带，时尚与科技完美结合。使用一段时间，功能强大，让我爱不释手。
健康和健身追踪功能，是我的心头好。准确记录心率、运动数据，助我了解身体状况，科学健身。💪
电池寿命杠杠的！长时间使用无需频繁充电，对经常忘记充电的我来说，太友好了。🔋
硬件和软件出色，显示效果极佳，看视频、图片都清晰。处理器强大，运行各种应用程序流畅无比。",46mm大表 幻夜黑,5,j***j
23517503028,2025-05-20 07:58:39,"主要功能：功能很强大，体验感很不错
续航能力：充一次电能用一周，很满意
舒适程度：佩戴舒适
精准程度：很好。
其他特色：物流很快。
灵敏度：触摸灵敏
操作难易：操作简单
外形外观：外观很大气上档次
做工质量：非常不错。
其他特色：客服小姐姐特别好，有问题及时沟通解决，推荐给大家。
准确性：使用非常方便，非常准确，很满意。",46mm大表 托帕蓝,5,j***9
23370362834,2025-05-11 19:05:28,这款手表真的很可爱，熊猫主题的设计非常有趣！🎉操作简单直观，质感也非常好。特别适合喜欢可爱风格的朋友们～👍华为手表GT5表盘大气可爱，功能齐全，性价比高，续航能力强，佩戴舒适 ，走时精准，多款多色可选。母亲节购买还有很大优惠，国补力度很大，值得购买。,46mm大表 幻夜黑,5,4***0
23248541648,2025-05-04 18:12:53,今天收到货了，首先手表外表是全新状态，没有出现什么意外，其次，屏幕反应很灵敏，音量也很大，可以自行调节，闹钟也非常不戳，在外边跑了一圈，记录的也很准确，总之，这款手表很不错，本人很喜欢,46mm大表 幻夜黑,5,具***人
23268576994,2025-05-05 22:34:46,华为gt5，这个五一终于下手了。到手现场激活。上手很容易操作，触屏灵敏，很满意。运动距离很准，户外GPS定位很快。心率准。APP里面表盘选择太多，一时竟然不知道选什么好。心情监测很有趣。这个好奇生气的时候小熊猫是什么样子的。满意的一款智能手表。,46mm大表 苍山灰,5,二***四
23262677089,2025-05-05 15:08:12,去年就想买的华为手表，今年终于买到了，跟老婆一人买了一块，外观时尚，怎么搭配都好看，屏幕光滑，运行流畅，耗电量低，带一天电量只掉5、6个点，熊猫🐼很乖，能看到自己的情绪反馈，功能强大，非常好。,46mm大表 幻夜黑,5,一***墨
23602158978,2025-05-25 20:59:44,"这款智能手表简直是太棒了！
情绪监测功能很好用，随时监测自神状态
表面非常耐磨，经久耐用防尘防水
不仅可以听歌还可以接打电话，非常方便。表带材质也很舒适，戴起来很轻盈不压手。⏰功能强大，支持多种运动模式和健康监测，每天都能保持好状态。强烈推荐给喜欢运动的小伙伴们！👍",46mm大表 苍山灰,5,影***鸽
21658068571,2024-10-29 00:38:33,还不错  蛮好看的续航时间很不错,46mm大表 幻夜黑 ,3,j***l
23564407349,2025-05-22 13:59:39,"情绪监测:太有用了，能实时监测提醒自己控制情绪
外形外观：黑色太帅了，表带佩戴舒服
做工质量：厚实，耐磨，易清洁
续航能力：基本一周一冲
主要功能：非常好用，简单易懂",46mm大表 幻夜黑,5,会***-
23280990113,2025-05-06 20:02:53,入手华为 GT5 后，体验真的超棒！外观设计时尚大气，佩戴舒适，无论是日常出街还是运动健身，都很百搭。华为 GT5 在外观防刮耐磨方面表现出色。据说采用几何锋芒设计，表体、表镜均覆以超硬镀膜 ，耐磨能力相比以往提升200% 。这种超硬镀膜工艺，就如同给手表穿上了一层坚固的&ldquo;防护衣&rdquo;，能有效抵御日常生活中常见的刮擦，比如与桌面、墙壁等的摩擦碰撞 ，大大降低了表面产生划痕的几率。续航也完全不用担心，正常使用一周一充，重度使用也能坚持好几天 。和手机连接稳定，消息提醒及时。华为 GT5 真的是集颜值与实力于一身，入手不亏！宝子们可以放心冲！！,46mm大表 苍山灰,5,j***0
23310371248,2025-05-08 15:18:06,HUAWEI WATCH GT 5 使用一段时间的真实反馈：颜值和功能双双在线！💯 外观设计简约高级，蓝宝石玻璃表盘耐刮耐磨，日常磕碰毫无痕迹。最爱情绪监测功能，压力值提醒超准，配合专属表盘可视化情绪变化，职场人必备！运动涂鸦玩法新颖，跑步轨迹生成艺术图案，让运动更有趣～续航给力，佩戴轻盈，绝对是智能手表中的全能选手！,46mm大表 幻夜黑,5,j***2
23484021480,2025-05-17 18:38:29,华为GT5上手超有质感，很有颜值，金属边框和陶瓷后盖抗造得很，日常磕碰不怕花。情绪检测像个贴心小助手，随时提醒我放松，很贴心。运动涂鸦功能超好玩，跑步轨迹能画成专属个性图案！实在是太好玩啦，推荐大家购买！,46mm大表 幻夜黑,5,s***3
23478897976,2025-05-17 12:12:07,"很漂亮，表盘很大很好看，这款很适合男生，客服态度也很好回复很快问题也都能解决，
续航能力：还不太清楚
舒适程度：戴着很舒服
主要功能：功能多样还在摸索
做工质量：还有质感
外形外观：好看好看好看",46mm大表 苍山灰,5,九***l
23369526241,2025-05-11 17:53:29,这款华为Watch gt5苍山灰智能手表真是让我爱不释手！每一款的设计都充满了时尚感和精致工艺，表带材质舒适，佩戴一整天也不会感到不适。表盘细节处理得非常到位，无论是日常搭配还是正式场合都能完美驾驭。最让我惊喜的是它的精准度，时间走得非常准，完全超出了我的预期。每一款都各具特色，让我在选择时感到非常纠结，但无论选哪一款都不会出错。总之，这绝对是一次非常满意的购物体验！,46mm大表 苍山灰,5,L***9
23170661018,2025-04-29 15:41:26,"续航很不错，带一整天只掉百分4的电量，不是华为的手机，缺少了语音助手其他体验适配得完美
 健康玄机感知系统也特别牛，支持心率，血压，体温，呼吸率，睡眠监测等健康指标
情绪检测实时更新，有心情不好的时候都记录下来特别可爱，运动涂鸦智能解锁也很速度，适合我们运动时候佩戴
外观设计简单八边形设计，圆形表盘，提升耐用与质感",46mm大表 幻夜黑,5,安***i
23328140546,2025-05-09 13:46:24,"一直信赖华为产品的质量，旧手表也是用的华为，现在这款GT 5用起来非常流畅，和我的华为手机适配度拉满！体验感非常不错！
情绪监测：检测效果很准确
运动涂鸦：目前还没仔细使用过
睡眠监测：上一代手表就一直用的一项功能，记录准确，可以辅助改变自己的睡眠习惯，提高睡眠质量
产品外观：落落大方",46mm大表 幻夜黑,5,j***t
23482655535,2025-05-17 16:55:51,入手HUAWEI WATCH GT 5有段时间了，外观真的很戳我！金属表身质感满满，而且超耐刮耐磨，日常磕碰完全没在怕的。情绪监测功能也很实用，能实时了解自己的情绪状态，帮我及时调整。运动涂鸦功能更是有趣，运动时随手记录，超有成就感。戴着它运动、出街都很合适，颜值与实力并存！ 👍,46mm大表 苍山灰,5,E***k
23495053718,2025-05-18 16:02:06,"舒适程度：表带很软，佩戴贴合、舒适。

外形外观：银色外观很满意，更换各种款式表带也会很百搭。

精准程度：试了下导航、跑步等功能，记录非常及时、准确。
续航能力：刚佩戴一两天，期待续航效果。",46mm大表 苍山灰,5,s***8
23241588869,2025-05-04 09:17:58,"表盘情绪的小熊猫非常可爱，千种表盘可以选择，机械的表盘显示非常的大气，华为手表第一次佩戴感真的很不错！给个大大的好评
主要功能：功能很齐全
续航能力：续航很不错
舒适程度：皮带软，质感很好",46mm大表 托帕蓝,5,L***伟
23535865447,2025-05-21 07:22:26,选了很久最终选择了适合自己的华为GT5，玄玑感知系统健康指标监测心率、血氧、呼吸率、压力、体温等功能，很喜欢情绪健康还有睡眠监测功能，GT5随时能感知你的心情，还有睡眠质量和时间！运动涂鸦可以根据制定的路线进行运动。我特别喜欢GT5的外观设计，屏幕大待机时间长，带上去很有质感！正常佩戴还是很耐刮耐磨的。,46mm大表 幻夜黑,5,那***9
