评论ID,评论时间,评论内容,评论得分,用户ID,用户昵称,用户等级,点赞数,回复数,是否置顶,是否精华,商品ID,购买时间,商品_颜色,评论图片
22778939209,2025-04-01 09:45:26,"舒适程度：佩戴上很舒服。
续航能力：新手表没充电，续航不错。
主要功能：功能很强大，满足使用。
做工质量：很好，相信华为。
外形外观：很帅气，好看！
值得购买，快递很快，有国补，简直太香了。",5,,凡***水,,,,0,0,,0,46mm大表 苍山灰,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/271721/32/13796/3397820/67eb4535Fdd7a8c47/27d8890e35968757.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/284728/10/13074/2987881/67eb4536Fcfdc464c/c02b7f31a375ebe4.jpg.dpg
22885196645,2025-04-10 10:58:16,"在黑色和灰色之间纠结了好久，
最终选择灰色，因为我是女生，骨骼大，之前黑色的丢失了，灰色更中性化，大表盘配灰色带，很喜欢。
主要功能：血压血氧情绪
续航能力：目前还没充电刚两天
舒适程度：舒服
精准程度：精准
孕妇妈妈的友好，建议开发孕妇功能",5,,D***4,,,,0,0,,0,46mm大表 苍山灰,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/279457/37/17671/85270/67f733c7F7bc7b2fa/3764068927c61312.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/275566/24/17971/72754/67f733c7F819a2b81/572973b8e203aba5.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/272330/3/18548/51833/67f733c7F475f6641/6fe0906d57886721.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/273023/33/18576/72782/67f733c7Fac0f7eba/b323a0457d25523d.jpg.dpg
22988678422,2025-04-18 10:57:39,这个手表新配色很好看，不错，华为GT5智能手表延续系列优势，采用轻薄金属机身与高清AMOLED屏，质感出众。两周超长续航支持无线快充，搭载精准心率、血氧、睡眠监测功能，新增科学减脂算法。支持100+运动模式与双频GPS定位，配合鸿蒙系统流畅交互，兼顾商务与运动场景，是全能型穿戴优选。,5,,帅***爷,,,,0,0,,0,46mm大表 苍山灰,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/273426/19/15987/173978/6801bfa1Fe62ebc99/b3ebb9c4560a5f48.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/274154/2/22791/85781/6801bfa2Fe82ca224/61b825471ce4100e.jpg.dpg
22737652121,2025-03-28 10:18:20,物流很快，服务态度很好，华为手表，外观漂亮，去年买的GT4就非常好用，没事检测个睡眠，运动等等，跑步的时候必须带着，看着心率。电池待机时间长，国补买的，满意,5,,马***飞,,,,0,0,,0,46mm大表 苍山灰,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/279090/33/11222/70256/67e606eaFff95030a/be644a96faa77565.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/278973/37/11261/116618/67e606ebF2da9ea1e/ee124f3af217a569.jpg.dpg
22794820878,2025-04-02 12:55:01,新款GT5真香啊。果然还是新款好。华为手表作为普通运动爱好者来说真的是性价比No1没有比华为性价比更高的了。要么续航不行，要不功能不行。,5,,是***啊,,,,0,0,,0,46mm大表 苍山灰,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/274481/14/14891/2547690/67ecc322F0cf34256/74888993979d04b9.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/276556/36/14825/3033946/67ecc322Fb4eaf13f/9257cfd426a021dc.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/281788/13/14049/2499167/67ecc323F6dc0c056/db41731daed4cff0.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/277519/26/15040/2387904/67ecc325F0c6b8c0c/74e7b08e4ee1bfe3.jpg.dpg
23348353756,2025-05-10 11:02:45,"主要功能：运动监测，健康监测，付款，心脏检测 很多&hellip;&hellip;
续航能力：很不错，续航久
舒适程度：佩戴很舒服，也不硌手
外形外观：超好看，一开始就是冲着颜值买单的，佩戴也特别的漂亮，运动风，上手超级好看
做工质量：质量非常的不错，表带很好看",5,,久***_,,,,0,0,,0,46mm大表 幻夜黑,https://jvod.300hu.com/img/2025/940431315/1/img2.jpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/299263/27/5489/184514/681ec1d4F26d52e8b/bdbe9620decd7e3d.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/291779/8/4633/211976/681ec1d4Ffa1c56eb/7e79a17d20594cef.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/295877/4/4048/226033/681ec1d4Fc909259c/39efe17fc8f786d5.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/304795/3/224/251508/681ec1d4Faccb1d50/a6d0c820406cb3ac.jpg.dpg
23493333759,2025-05-18 13:26:31,"华为手表真的超出预期！健康监测功能精准，运动模式丰富，续航也持久，日常使用完全没问题，值得推荐！

买来用了几天，充电方便，数据记录准确，特别适合运动爱好者，性价比很高，满意！

华为手表设计时尚，操作流畅，功能齐全，既能监测健康又能在运动中提供帮助，朋友看到都问链接！

物流速度超快，包装严实，手表运行稳定，功能完全符合描述，用着很顺手，下次还会回购！

对比了好几家选的这款，果然没失望！轻薄耐用，功能强大，日常管理健康和运动都很方便，好评！",5,,u***l,,,,0,0,,0,46mm大表 苍山灰,https://jvod.300hu.com/img/2025/948529973/1/img3.jpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/309928/3/1954/101981/68296f85F9aba44c7/f01068bd3e2483b9.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/316212/21/1936/101179/68296f86F1641f29e/40569ac80d83c7ec.jpg.dpg
23485912586,2025-05-17 21:37:39,早都想买一个华为GT5智能手表，赶上京东有活动，果断入手了！价格很美丽，功能很齐全，是我想要的！华为GT5的外观比大部分同价位手表好看，表壳前端为不锈钢，后盖采用高性能纤维增强复合材料，兼顾轻盈与耐用性，而且待机时间很长！华为GT5搭载了玄玑感知系统，情绪健康开关开启时，静止状态下设备会自动测量压力值、情绪状态及相关特征，佩戴一段时间后，会生成情绪值，我很喜欢！！还有好多功能慢慢研究！是值得推荐一款智能手表！,5,,我***你,,,,0,0,,0,46mm大表 幻夜黑,https://jvod.300hu.com/img/2025/948042983/1/img6.jpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/294022/38/7187/3442616/6828911fFb6298893/25bd836c439ae773.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/308074/13/1806/3800224/6828911fF586c6c75/6634f0d48fd0109f.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/286580/37/7873/2436502/68289120F8dd4f29b/4d91de97e79de8a0.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/300997/7/7310/111784/68289121F97fd5b92/3f99c126ffffd488.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/314460/21/1742/2464710/68289122F3240ad8c/2256d2384499a28f.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/305811/8/2891/56396/68289122F0bfe6d32/048cc4e5649c1547.jpg.dpg
23427942039,2025-05-14 22:28:19,隔天收到手表物流速度快，国补需要收货现场激活拍照记录。外观好看精致，搭配的表盘也实用，幻夜黑耐看、运动风格，带电68%，盒里面搭配圆头充电线，这几天看看耗电情况。屏幕显示效果佳，有送表带，是氟橡胶，不会导致皮肤过敏、质地舒服。以前用的是GT4，当天就测试了睡眠、户外跑步和室内跑步，记录很精准，特别是在跑步机上跑步手表的跑步数据，与跑步机上显示的一致。一天下来，体验很不错，先把初步的感受写下来,5,,小***4,,,,0,0,,0,46mm大表 幻夜黑,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/311036/28/878/1628234/6824a714Fb2a00927/13aad0be063672dc.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/300366/26/6577/385214/6824a878Fb261cd2f/3720b72c04f9706a.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/308371/30/857/372321/6824a87bF9584c1c0/ab449d21d426fa64.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/313741/6/861/294387/6824a87dF97162349/b8042f1e7bc72ab4.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/305371/7/1993/477991/6824a880F612322df/d91f14c30c52a2f0.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/299867/19/6603/506960/6824a883Fd0b0a650/c230d4beb0e1401f.jpg.dpg
23351981884,2025-05-10 13:57:41,"精准程度：华为玄玑感知很灵敏也准确
续航能力：全天候息屏显示续航也能超过一周真的很赞
做工质量：做工精致，使用一周未发现磨损
其他特色：心情表盘有趣可爱
外形外观：黑色很大气，华为的设计很在线
灵敏度：流畅丝滑
满意的一次购买体验，希望越做越好！",5,,j***m,,,,0,0,,0,46mm大表 幻夜黑,https://jvod.300hu.com/img/2025/940602563/1/img2.jpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/290333/4/4687/63104/681eead2F678cdadd/0ea8e33b0f23e75e.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/296657/7/5501/155466/681eead3Fedc1f9d7/70562ad6a895bae1.jpg.dpg|https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/302609/1/4938/126943/681eead5F5c3968b4/b187209e48da4c65.jpg.dpg
